gene	target_id	sample_group	rows	unique_samples	good_samples	median_percent_covered	median_mean_depth	max_mean_depth
nifA	nifA|NC_012848|NC_012848_-_Symbiosis_Island|ref6	BLAN	12	12	8	98.8458	45.0970	7800.1921
nifA	nifA|NC_012848|NC_012848_-_Symbiosis_Island|ref6	No	366	366	8	6.5559	2.0370	7722.3832
nifA	nifA|NC_012848|NC_012848_-_Symbiosis_Island|ref6	Rh	372	372	21	8.4949	6.7654	2063.2918
nifA	nifA|NC_012848|NC_012848_-_Symbiosis_Island|ref6	Ro	366	366	9	7.1099	1.6034	502.2992
nifA	nifA|NC_014120|NC_014120_-_Symbiosis_Island|ref7	BLAN	12	12	0	12.7808	10.7511	69.0704
nifA	nifA|NC_014120|NC_014120_-_Symbiosis_Island|ref7	No	366	366	0	8.9253	4.9216	3072.0546
nifA	nifA|NC_014120|NC_014120_-_Symbiosis_Island|ref7	Rh	372	372	0	10.2915	25.0009	343.2884
nifA	nifA|NC_014120|NC_014120_-_Symbiosis_Island|ref7	Ro	366	366	0	10.2308	5.4857	1512.3418
nifA	nifA|NC_017249|NC_017249_-_Symbiosis_Island_2|ref8	BLAN	12	12	3	69.0319	5.0509	4443.5006
nifA	nifA|NC_017249|NC_017249_-_Symbiosis_Island_2|ref8	No	366	366	56	59.7910	33.1485	7946.8977
nifA	nifA|NC_017249|NC_017249_-_Symbiosis_Island_2|ref8	Rh	372	372	27	45.5996	3.0272	5345.0908
nifA	nifA|NC_017249|NC_017249_-_Symbiosis_Island_2|ref8	Ro	366	366	29	47.4147	3.0569	3576.8889
nifA	nifA|NC_019848|NC_019848_-_Symbiosis_Island_3|ref9	BLAN	12	12	9	100.0000	17.6664	606.8924
nifA	nifA|NC_019848|NC_019848_-_Symbiosis_Island_3|ref9	No	366	366	42	9.8401	0.7325	7942.7288
nifA	nifA|NC_019848|NC_019848_-_Symbiosis_Island_3|ref9	Rh	372	372	34	9.3788	1.2039	7749.3026
nifA	nifA|NC_019848|NC_019848_-_Symbiosis_Island_3|ref9	Ro	366	366	41	5.9963	0.4256	7920.2478
nifA	nifA|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref10	BLAN	12	12	0	12.0354	1.0852	6.7540
nifA	nifA|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref10	No	366	366	6	36.5487	2.5567	5944.7835
nifA	nifA|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref10	Rh	372	372	1	24.6018	4.3717	4616.3794
nifA	nifA|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref10	Ro	366	366	0	30.2950	2.0082	4017.5139
nifA	nifA|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref11	BLAN	12	12	0	2.3985	0.0904	1.7343
nifA	nifA|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref11	No	366	366	0	1.1685	0.0246	159.2355
nifA	nifA|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref11	Rh	372	372	0	1.1685	0.0246	14.9225
nifA	nifA|NZ_HG938357|NZ_HG938357_-_Symbiosis_Island|ref11	Ro	366	366	0	1.1685	0.0234	4.4114
nifB	nifB|CU633751|CU633751_-_Symbiosis_Island|ref12	BLAN	12	12	0	4.6755	0.1663	9.5458
nifB	nifB|CU633751|CU633751_-_Symbiosis_Island|ref12	No	366	366	13	4.5165	0.1590	7931.3925
nifB	nifB|CU633751|CU633751_-_Symbiosis_Island|ref12	Rh	372	372	11	5.4707	0.8550	542.8912
nifB	nifB|CU633751|CU633751_-_Symbiosis_Island|ref12	Ro	366	366	13	4.5165	0.1635	6343.9478
nifB	nifB|NC_002678|NC_002678_-_Symbiosis_Island_1|ref13	BLAN	12	12	0	8.8056	0.3283	4.6768
nifB	nifB|NC_002678|NC_002678_-_Symbiosis_Island_1|ref13	No	366	366	24	23.0769	1.7622	5225.8300
nifB	nifB|NC_002678|NC_002678_-_Symbiosis_Island_1|ref13	Rh	372	372	2	16.3293	0.9791	3809.0148
nifB	nifB|NC_002678|NC_002678_-_Symbiosis_Island_1|ref13	Ro	366	366	2	17.3414	0.7864	3912.1795
nifB	nifB|NC_007777|NC_007777_-_Symbiosis_Island|ref14	BLAN	12	12	0	16.1932	0.6269	2118.5966
nifB	nifB|NC_007777|NC_007777_-_Symbiosis_Island|ref14	No	366	366	0	12.2475	1.4801	2629.9426
nifB	nifB|NC_007777|NC_007777_-_Symbiosis_Island|ref14	Rh	372	372	0	9.6591	0.6711	166.2771
nifB	nifB|NC_007777|NC_007777_-_Symbiosis_Island|ref14	Ro	366	366	0	6.7551	0.2901	888.7778
nifB	nifB|NC_008278|NC_008278_-_Symbiosis_Island|ref15	BLAN	12	12	2	41.9094	1.3634	3137.6744
nifB	nifB|NC_008278|NC_008278_-_Symbiosis_Island|ref15	No	366	366	76	60.4855	5.5434	7937.9307
nifB	nifB|NC_008278|NC_008278_-_Symbiosis_Island|ref15	Rh	372	372	32	44.7897	3.6531	3064.2382
nifB	nifB|NC_008278|NC_008278_-_Symbiosis_Island|ref15	Ro	366	366	23	37.6699	2.0191	2837.4718
nifB	nifB|NC_009937|NC_009937_-_Symbiosis_Island_2|ref16	BLAN	12	12	1	56.7948	12.5497	134.2577
nifB	nifB|NC_009937|NC_009937_-_Symbiosis_Island_2|ref16	No	366	366	108	69.1667	139.9978	4402.2314
nifB	nifB|NC_009937|NC_009937_-_Symbiosis_Island_2|ref16	Rh	372	372	127	70.3205	201.9013	3769.2006
nifB	nifB|NC_009937|NC_009937_-_Symbiosis_Island_2|ref16	Ro	366	366	96	65.2564	19.4254	3603.6865
nifB	nifB|NC_011894|NC_011894_-_Symbiosis_Island_2|ref17	BLAN	12	12	0	10.5878	0.7592	5.5645
nifB	nifB|NC_011894|NC_011894_-_Symbiosis_Island_2|ref17	No	366	366	0	9.0180	1.2495	394.4195
nifB	nifB|NC_011894|NC_011894_-_Symbiosis_Island_2|ref17	Rh	372	372	0	9.2184	1.2698	212.8784
nifB	nifB|NC_011894|NC_011894_-_Symbiosis_Island_2|ref17	Ro	366	366	0	7.0808	0.2946	271.1877
nifB	nifB|NC_012848|NC_012848_-_Symbiosis_Island|ref18	BLAN	12	12	9	100.0000	27.1643	7912.7135
nifB	nifB|NC_012848|NC_012848_-_Symbiosis_Island|ref18	No	366	366	12	1.2899	0.0282	7854.2736
