sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
DCFS-5-1-Ro	nolF.fa	1110	1104	99.4595	58.6144	62	6	0.5405	9	0.4462	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-5-1-No	nolF.fa	1110	1107	99.7297	6893.2009	7426	3	0.2703	9	0.4248	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-6-1-Rh	nolF.fa	1110	1100	99.0991	7.3252	7	10	0.9009	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-6-1-Ro	nolF.fa	1110	1103	99.3694	10.3234	9	7	0.6306	0	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-7-1-Rh	nolF.fa	1110	985	88.7387	215.7955	5	125	11.2613	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-7-1-Ro	nolF.fa	1110	1057	95.2252	130.7604	11	53	4.7748	0	0.4375	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-6-1-No	nolF.fa	1110	1107	99.7297	7123.7045	7713	3	0.2703	0	0.0033	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-8-1-Rh	nolF.fa	1110	1099	99.0090	383.3577	279	11	0.9910	1	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-8-1-Ro	nolF.fa	1110	1092	98.3784	16.2829	15	18	1.6216	2	0.4737	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-28-2-No	nolF.fa	1110	1100	99.0991	11.6811	10	10	0.9009	0	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-29-1-No	nolF.fa	1110	1086	97.8378	14.8829	13	24	2.1622	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-59-No	nolF.fa	1110	1077	97.0270	17.1135	20	33	2.9730	2	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-59-Ro	nolF.fa	1110	1054	94.9550	8.0351	8	56	5.0450	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DELA-26-3-Ro	nolF.fa	1110	1090	98.1982	28.9333	28	20	1.8018	9	0.4688	20	10	5	0.2000	20	10	pass_single_dominant
DELA-32-1-No	nolF.fa	1110	1100	99.0991	9.8694	10	10	0.9009	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-13-1-No	nolF.fa	1110	1080	97.2973	9.2901	8	30	2.7027	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-13-1-Rh	nolF.fa	1110	1005	90.5405	7.6333	8	105	9.4595	0	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-13-1-Ro	nolF.fa	1110	1021	91.9820	7.4568	9	89	8.0180	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-14-1-Rh	nolF.fa	1110	1082	97.4775	13.3829	13	28	2.5225	2	0.4800	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-15-1-Ro	nolF.fa	1110	1103	99.3694	21.2027	23	7	0.6306	8	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-17-3-No	nolF.fa	1110	1104	99.4595	85.3000	13	6	0.5405	0	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-91-1-Rh	nolF.fa	1110	1102	99.2793	6.8306	6	8	0.7207	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-CRMA-33-1-Rh	nolF.fa	1110	1103	99.3694	7.2658	8	7	0.6306	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
HEAL-7-1-Ro	nolF.fa	1110	1092	98.3784	10.2613	10	18	1.6216	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
JERC-11-1-No	nolF.fa	1110	1095	98.6486	10.4982	8	15	1.3514	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
JERC-149-Ro	nolF.fa	1110	1103	99.3694	12.5712	12	7	0.6306	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
JERC-150-Ro	nolF.fa	1110	1101	99.1892	6.4261	6	9	0.8108	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-204-1-Ro	nolF.fa	1110	1097	98.8288	9.4739	10	13	1.1712	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-2-1-Ro	nolF.fa	1110	1099	99.0090	8.9811	8	11	0.9910	0	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-8-1-No	nolF.fa	1110	1107	99.7297	6802.8333	7391	3	0.2703	0	0.0033	20	10	5	0.2000	20	10	pass_single_dominant
JERC-46-1-Rh	nolF.fa	1110	1084	97.6577	7.0757	7	26	2.3423	0	0.3000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-89-1-No	nolF.fa	1110	1103	99.3694	12.1577	11	7	0.6306	1	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-94-1-No	nolF.fa	1110	1101	99.1892	9.1604	6	9	0.8108	1	0.3000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-DEST-32-1-No	nolF.fa	1110	1103	99.3694	51.1270	54	7	0.6306	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
JERC-RHTO-58-1-Ro	nolF.fa	1110	1103	99.3694	9.9604	10	7	0.6306	0	0.4667	20	10	5	0.2000	20	10	pass_single_dominant
JORN-3-1-Rh	nolF.fa	1110	1090	98.1982	15.0721	16	20	1.8018	2	0.4800	20	10	5	0.2000	20	10	pass_single_dominant
KONZ-6-1-Ro	nolF.fa	1110	1087	97.9279	9.6568	10	23	2.0721	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
LAJA-25-1-No	nolF.fa	1110	1102	99.2793	8.6423	8	8	0.7207	0	0.1429	20	10	5	0.2000	20	10	pass_single_dominant
LENO-15-2-No	nolF.fa	1110	1103	99.3694	9.2559	9	7	0.6306	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
KONZ-1-Ro	nolF.fa	1110	1077	97.0270	470.8135	273	33	2.9730	4	0.4266	20	10	5	0.2000	20	10	pass_single_dominant
NIWO-1-Rh	nolF.fa	1110	1078	97.1171	78.5793	6	32	2.8829	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NIWO-1-Ro	nolF.fa	1110	934	84.1441	7.0423	2	176	15.8559	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NIWO-2-Rh	nolF.fa	1110	1087	97.9279	15.4973	3	23	2.0721	0	0.0833	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-1-1-Rh	nolF.fa	1110	1105	99.5495	8.6586	9	5	0.4505	0	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-1-1-Ro	nolF.fa	1110	1101	99.1892	17.8441	21	9	0.8108	11	0.4800	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
NOGP-1-1-No	nolF.fa	1110	1104	99.4595	6316.2054	6952	6	0.5405	0	0.0056	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-2-1-Rh	nolF.fa	1110	1100	99.0991	10.7369	12	10	0.9009	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-2-1-Ro	nolF.fa	1110	1107	99.7297	6429.5937	6888	3	0.2703	0	0.0052	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-No	nolF.fa	1110	1107	99.7297	6955.1721	7572	3	0.2703	0	0.0062	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-Rh	nolF.fa	1110	1103	99.3694	8.7847	8	7	0.6306	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-Ro	nolF.fa	1110	1104	99.4595	724.4171	751	6	0.5405	0	0.0129	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-4-1-No	nolF.fa	1110	1062	95.6757	9.8207	10	48	4.3243	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-4-1-Rh	nolF.fa	1110	1071	96.4865	9.8973	10	39	3.5135	0	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-4-1-Ro	nolF.fa	1110	1107	99.7297	7098.6694	7678	3	0.2703	3	0.4194	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-5-2-No	nolF.fa	1110	1108	99.8198	7207.4306	7787	2	0.1802	3	0.4535	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-5-2-Ro	nolF.fa	1110	1104	99.4595	5616.4757	6377	6	0.5405	0	0.0631	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-2-1-No	nolF.fa	1110	1107	99.7297	6777.4477	7444	3	0.2703	0	0.0551	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-6-3-Ro	nolF.fa	1110	1104	99.4595	883.4270	991	6	0.5405	0	0.0272	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-7-2-No	nolF.fa	1110	1040	93.6937	17.9468	6	70	6.3063	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-7-2-Rh	nolF.fa	1110	1026	92.4324	547.2405	4	84	7.5676	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
OAES-1-1-No	nolF.fa	1110	1103	99.3694	22.2252	23	7	0.6306	0	0.1000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-13-1-Rh	nolF.fa	1110	1103	99.3694	13.6153	14	7	0.6306	0	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
OAES-13-1-Ro	nolF.fa	1110	1090	98.1982	7.7991	8	20	1.8018	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-6-3-No	nolF.fa	1110	1103	99.3694	6445.0036	6948	7	0.6306	1	0.4029	20	10	5	0.2000	20	10	pass_single_dominant
OAES-14-1-Rh	nolF.fa	1110	1103	99.3694	90.7541	91	7	0.6306	2	0.2157	20	10	5	0.2000	20	10	pass_single_dominant
OAES-14-1-Ro	nolF.fa	1110	1103	99.3694	160.5423	177	7	0.6306	0	0.1889	20	10	5	0.2000	20	10	pass_single_dominant
OAES-15-No	nolF.fa	1110	1043	93.9640	234.4622	225	67	6.0360	2	0.2941	20	10	5	0.2000	20	10	pass_single_dominant
OAES-15-Rh	nolF.fa	1110	1066	96.0360	571.3919	5	44	3.9640	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
OAES-15-Ro	nolF.fa	1110	1079	97.2072	8.2450	6	31	2.7928	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES_19-2-No	nolF.fa	1110	1108	99.8198	7152.6288	7786	2	0.1802	6	0.4203	20	10	5	0.2000	20	10	pass_single_dominant
OAES_19-2-Rh	nolF.fa	1110	1103	99.3694	867.5180	977	7	0.6306	0	0.0564	20	10	5	0.2000	20	10	pass_single_dominant
OAES_19-2-Ro	nolF.fa	1110	1092	98.3784	47.2117	42	18	1.6216	6	0.4417	20	10	5	0.2000	20	10	pass_single_dominant
OAES-20-Ro	nolF.fa	1110	1053	94.8649	24.7000	25	57	5.1351	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
OAES-21-3-Rh	nolF.fa	1110	1010	90.9910	48.7135	1	100	9.0090	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-14-1-No	nolF.fa	1110	1107	99.7297	7159.9856	7754	3	0.2703	9	0.3572	20	10	5	0.2000	20	10	pass_single_dominant
OAES-2-1-Ro	nolF.fa	1110	1104	99.4595	1925.6829	2112	6	0.5405	0	0.0129	20	10	5	0.2000	20	10	pass_single_dominant
OAES-22-1-No	nolF.fa	1110	1107	99.7297	6877.9775	7377	3	0.2703	0	0.0055	20	10	5	0.2000	20	10	pass_single_dominant
OAES-23-1-Rh	nolF.fa	1110	1097	98.8288	2484.0739	2761	13	1.1712	0	0.0356	20	10	5	0.2000	20	10	pass_single_dominant
OAES-23-1-Ro	nolF.fa	1110	1071	96.4865	44.5631	18	39	3.5135	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES_24-3-No	nolF.fa	1110	1078	97.1171	28.0027	32	32	2.8829	6	0.4706	20	10	5	0.2000	20	10	pass_single_dominant
OAES_24-3-Rh	nolF.fa	1110	1104	99.4595	293.2297	31	6	0.5405	1	0.2800	20	10	5	0.2000	20	10	pass_single_dominant
OAES_24-3-Ro	nolF.fa	1110	1104	99.4595	36.0054	36	6	0.5405	6	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-25-1-No	nolF.fa	1110	1050	94.5946	4.8712	3	60	5.4054	0	0.0588	20	10	5	0.2000	20	10	pass_single_dominant
OAES-27-2-Ro	nolF.fa	1110	1075	96.8468	12.0847	13	35	3.1532	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-3-1-No	nolF.fa	1110	1096	98.7387	22.5937	14	14	1.2613	0	0.1429	20	10	5	0.2000	20	10	pass_single_dominant
OAES-3-1-Ro	nolF.fa	1110	1100	99.0991	11.3198	11	10	0.9009	0	0.1250	20	10	5	0.2000	20	10	pass_single_dominant
OAES-36-2-No	nolF.fa	1110	1104	99.4595	6653.6360	7211	6	0.5405	0	0.0350	20	10	5	0.2000	20	10	pass_single_dominant
OAES-36-3-No	nolF.fa	1110	1103	99.3694	4886.4622	4989	7	0.6306	0	0.0653	20	10	5	0.2000	20	10	pass_single_dominant
OAES-36-3-Rh	nolF.fa	1110	1062	95.6757	2453.8306	1310	48	4.3243	2	0.4055	20	10	5	0.2000	20	10	pass_single_dominant
OAES-37-2-Ro	nolF.fa	1110	1095	98.6486	17.8703	16	15	1.3514	1	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
OAES-5-Rh	nolF.fa	1110	1102	99.2793	15.7378	16	8	0.7207	4	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-6-1-No	nolF.fa	1110	1100	99.0991	25.4135	28	10	0.9009	2	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
OAES-6-1-Rh	nolF.fa	1110	1092	98.3784	35.2477	37	18	1.6216	5	0.3556	20	10	5	0.2000	20	10	pass_single_dominant
OAES-6-1-Ro	nolF.fa	1110	1100	99.0991	30.0153	33	10	0.9009	1	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
OAES-7-1-No	nolF.fa	1110	1104	99.4595	27.1550	31	6	0.5405	4	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
OAES-7-1-Rh	nolF.fa	1110	1103	99.3694	35.7234	39	7	0.6306	7	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-7-1-Ro	nolF.fa	1110	1100	99.0991	27.3631	32	10	0.9009	2	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-8-2-Ro	nolF.fa	1110	1103	99.3694	9.6288	9	7	0.6306	0	0.1000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-9-1-Rh	nolF.fa	1110	1103	99.3694	12.0775	12	7	0.6306	1	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-102-1-No	nolF.fa	1110	1103	99.3694	11.3027	11	7	0.6306	0	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-106-1-Ro	nolF.fa	1110	1091	98.2883	9.7658	10	19	1.7117	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
OAES-2-1-No	nolF.fa	1110	1107	99.7297	7254.6784	7811	3	0.2703	0	0.0039	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-36-1-Ro	nolF.fa	1110	1104	99.4595	116.2342	100	6	0.5405	1	0.4130	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-97-2-Rh	nolF.fa	1110	1002	90.2703	11.3468	8	108	9.7297	0	0.4737	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-99-Ro	nolF.fa	1110	1095	98.6486	7.6811	6	15	1.3514	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
RMNP-1-Rh	nolF.fa	1110	1092	98.3784	13.1342	15	18	1.6216	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
RMNP-2-Rh	nolF.fa	1110	1102	99.2793	10.7486	8	8	0.7207	0	0.2105	20	10	5	0.2000	20	10	pass_single_dominant
SCBI-1-1-Rh	nolF.fa	1110	1090	98.1982	8.2414	8	20	1.8018	0	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
SCBI-1-1-Ro	nolF.fa	1110	1094	98.5586	12.8252	12	16	1.4414	1	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
SCBI-12-1-No	nolF.fa	1110	1100	99.0991	9.0207	9	10	0.9009	0	0.2727	20	10	5	0.2000	20	10	pass_single_dominant
