sample	site	sample_type	in_metadata_exact	match_status	metadata_sample_norm_match	n_norm_matches
CLBJ-4-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-4-1-Rh	1
CLBJ-37-1-No	CLBJ	No	yes	exact_match	CLBJ-37-1-No	1
CLBJ-4-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-4-1-Ro	1
CLBJ-42-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-42-1-Rh	1
CLBJ-42-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-42-1-Ro	1
CLBJ-43-2-No	CLBJ	No	yes	exact_match	CLBJ-43-2-No	1
CLBJ-42-1-No	CLBJ	No	yes	exact_match	CLBJ-42-1-No	1
CLBJ-43-2-Rh	CLBJ	Rh	yes	exact_match	CLBJ-43-2-Rh	1
CLBJ-43-2-Ro	CLBJ	Ro	yes	exact_match	CLBJ-43-2-Ro	1
CLBJ-44-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-44-1-Rh	1
CLBJ-44-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-44-1-Ro	1
CLBJ-45-2-Rh	CLBJ	Rh	yes	exact_match	CLBJ-45-2-Rh	1
CLBJ-44-1-No	CLBJ	No	yes	exact_match	CLBJ-44-1-No	1
CLBJ-45-2-Ro	CLBJ	Ro	yes	exact_match	CLBJ-45-2-Ro	1
CLBJ-46-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-46-1-Rh	1
CLBJ-46-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-46-1-Ro	1
CLBJ-46-1-No	CLBJ	No	yes	exact_match	CLBJ-46-1-No	1
CLBJ-47-1-No	CLBJ	No	yes	exact_match	CLBJ-47-1-No	1
CLBJ-47-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-47-1-Ro	1
CLBJ-47-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-47-1-Rh	1
CLBJ-48-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-48-1-Rh	1
CLBJ-48-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-48-1-Ro	1
CLBJ-49-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-49-1-Rh	1
CLBJ-49-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-49-1-Ro	1
CLBJ-48-1-No	CLBJ	No	yes	exact_match	CLBJ-48-1-No	1
CLBJ-50-3-No	CLBJ	No	yes	exact_match	CLBJ-50-3-No	1
