Sample ID,Domain,Species,Date finalized,Qubit average,Total DNA,NebNext protocol,Isotope reference name,Sample preservation,Type,Family,Site,Genus,Tribe,Plot simple,County,State,native,Lat,Long,Date (field collection)
OAES-27-2-No,D11,Oxytropis lambertii,6/10/24,0,0,Quarter,OAES-27,ethanol,nodule,Fabaceae,OAES,Oxytropis,Galegeae,OAES_006_R,Washita,OK,yes,35.420259,-99.048669,4/17/24
OAES-28-1-Rh,D11,Astragalus missouriensis,6/10/24,0,0,Quarter,OAES-28,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_006_R,Washita,OK,yes,35.420259,-99.048669,4/17/24
OAES-28-1-Ro,D11,Astragalus missouriensis,6/10/24,0,0,Quarter,OAES-28,ethanol,root,Fabaceae,OAES,Astragalus,Galegeae,OAES_006_R,Washita,OK,yes,35.420259,-99.048669,4/17/24
OAES-28-1-No,D11,Astragalus missouriensis,6/10/24,6.21,1229.58,Half,OAES-28,ethanol,nodule,Fabaceae,OAES,Astragalus,Galegeae,OAES_006_R,Washita,OK,yes,35.420259,-99.048669,4/17/24
OAES-29-1-Rh,D11,Astragalus lotiflorus,6/10/24,0,0,Quarter,OAES-29,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_006_R,Washita,OK,yes,35.420259,-99.048669,4/17/24
OAES-29-1-Ro,D11,Astragalus lotiflorus,6/10/24,0,0,Quarter,OAES-29,ethanol,root,Fabaceae,OAES,Astragalus,Galegeae,OAES_006_R,Washita,OK,yes,35.420259,-99.048669,4/17/24
OAES-29-1-No,D11,Astragalus lotiflorus,6/10/24,0,0,Quarter,OAES-29,ethanol,nodule,Fabaceae,OAES,Astragalus,Galegeae,OAES_006_R,Washita,OK,yes,35.420259,-99.048669,4/17/24
OAES-30-2-Rh,D11,Ceanothus herbaceus,6/10/24,0,0,Quarter,OAES-30,ethanol,rhizosphere,Rhamnaceae,OAES,Ceanothus,actinorhizal,OAES_006_R,Washita,OK,yes,35.25165,-99.2881,4/23/24
OAES-30-2-Ro,D11,Ceanothus herbaceus,6/10/24,0,0,Quarter,OAES-30,ethanol,root,Rhamnaceae,OAES,Ceanothus,actinorhizal,OAES_006_R,Washita,OK,yes,35.25165,-99.2881,4/23/24
OAES-30-2-No,D11,Ceanothus herbaceus,6/10/24,0,0,Quarter,OAES-30,ethanol,nodule,Rhamnaceae,OAES,Ceanothus,actinorhizal,OAES_006_R,Washita,OK,yes,35.25165,-99.2881,4/23/24
OAES-31-1-Rh,D11,Pediomelum tenuiflorum,6/10/24,0,0,Quarter,OAES-31,ethanol,rhizosphere,Fabaceae,OAES,Pediomelum,Psoraleeae,OAES_006_R,Washita,OK,yes,35.2517,-99.2882,4/23/24
OAES-31-1-Ro,D11,Pediomelum tenuiflorum,6/10/24,0,0,Quarter,OAES-31,ethanol,root,Fabaceae,OAES,Pediomelum,Psoraleeae,OAES_006_R,Washita,OK,yes,35.2517,-99.2882,4/23/24
OAES-31-1-No,D11,Pediomelum tenuiflorum,6/10/24,0,0,Quarter,OAES-31,ethanol,nodule,Fabaceae,OAES,Pediomelum,Psoraleeae,OAES_006_R,Washita,OK,yes,35.2517,-99.2882,4/23/24
OAES-32-1-Rh,D11,Astragalus nuttallianus var. austrinus,6/10/24,0,0,Quarter,OAES-32,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_006_R,Washita,OK,yes,35.2455,-99.04049,4/24/24
OAES-32-1-Ro,D11,Astragalus nuttallianus var. austrinus,6/10/24,0,0,Quarter,OAES-32,ethanol,root,Fabaceae,OAES,Astragalus,Galegeae,OAES_006_R,Washita,OK,yes,35.2455,-99.04049,4/24/24
OAES-32-1-No,D11,Astragalus nuttallianus var. austrinus,6/10/24,1.985,393.03,Half,OAES-32,ethanol,nodule,Fabaceae,OAES,Astragalus,Galegeae,OAES_006_R,Washita,OK,yes,35.2455,-99.04049,4/24/24
OAES-33-1-Rh,D11,Astragalus missouriensis,6/13/24,0,0,Quarter,OAES-33,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_004_R,Washita,OK,yes,35.41213,-99.085338,4/24/24
OAES-33-1-Ro,D11,Astragalus missouriensis,6/13/24,0,0,Quarter,OAES-33,ethanol,root,Fabaceae,OAES,Astragalus,Galegeae,OAES_004_R,Washita,OK,yes,35.41213,-99.085338,4/24/24
OAES-33-1-No,D11,Astragalus missouriensis,6/13/24,0.4725,93.555,Quarter,OAES-33,ethanol,nodule,Fabaceae,OAES,Astragalus,Galegeae,OAES_004_R,Washita,OK,yes,35.41213,-99.085338,4/24/24
OAES-34-1-Rh,D11,Astragalus lotiflorus,6/13/24,0,0,Quarter,OAES-34,ethanol,rhizosphere,Fabaceae,OAES,Astragalus,Galegeae,OAES_004_M,Washita,OK,yes,32.2479,-99.5007,4/24/24
OAES-34-1-Ro,D11,Astragalus lotiflorus,6/13/24,0,0,Quarter,OAES-34,ethanol,root,Fabaceae,OAES,Astragalus,Galegeae,OAES_004_M,Washita,OK,yes,32.2479,-99.5007,4/24/24
OAES-34-1-No,D11,Astragalus lotiflorus,6/13/24,1.22,241.56,Quarter,OAES-34,ethanol,nodule,Fabaceae,OAES,Astragalus,Galegeae,OAES_004_M,Washita,OK,yes,32.2479,-99.5007,4/24/24
CLBJ-6-3-Rh,D11,Indigofera miniata,6/13/24,0,0,Quarter,CLBJ-6,ethanol,rhizosphere,Fabaceae,CLBJ,Indigofera,Indigofereae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-6-3-Ro,D11,Indigofera miniata,6/13/24,0,0,Quarter,CLBJ-6,ethanol,root,Fabaceae,CLBJ,Indigofera,Indigofereae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-6-3-No,D11,Indigofera miniata,6/13/24,0,0,Quarter,CLBJ-6,ethanol,nodule,Fabaceae,CLBJ,Indigofera,Indigofereae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-7-1-Rh,D11,Neptunia lutea,6/13/24,0,0,Quarter,CLBJ-7,ethanol,rhizosphere,Fabaceae,CLBJ,Neptunia,Mimosoideae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-7-1-Ro,D11,Neptunia lutea,6/13/24,0,0,Quarter,CLBJ-7,ethanol,root,Fabaceae,CLBJ,Neptunia,Mimosoideae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-7-1-No,D11,Neptunia lutea,6/13/24,0,0,Quarter,CLBJ-7,ethanol,nodule,Fabaceae,CLBJ,Neptunia,Mimosoideae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-8-1-Rh,D11,Gleditsia triacanthus,6/13/24,0,0,Quarter,CLBJ-8,ethanol,rhizosphere,Fabaceae,CLBJ,Gleditsia,Gleditsieae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-8-1-Ro,D11,Gleditsia triacanthus,6/13/24,0,0,Quarter,CLBJ-8,ethanol,root,Fabaceae,CLBJ,Gleditsia,Gleditsieae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-8-1-No,D11,Gleditsia triacanthus,6/13/24,0,0,Quarter,CLBJ-8,ethanol,nodule,Fabaceae,CLBJ,Gleditsia,Gleditsieae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-9-1-Rh,D11,Lespedeza procumbens,6/13/24,0,0,Quarter,CLBJ-9,ethanol,rhizosphere,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-9-1-Ro,D11,Lespedeza procumbens,6/13/24,0,0,Quarter,CLBJ-9,ethanol,root,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-9-1-No,D11,Lespedeza procumbens,6/13/24,0,0,Quarter,CLBJ-9,ethanol,nodule,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_001_T,Wise,TX,yes,33.39787,-97.568339,4/30/24
CLBJ-10-1-Rh,D11,Desmodium sessifolium,6/13/24,0,0,Quarter,CLBJ-10,dry,rhizosphere,Fabaceae,CLBJ,Desmodium,Desmodieae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-10-1-Ro,D11,Desmodium sessifolium,6/13/24,0,0,Quarter,CLBJ-10,dry,root,Fabaceae,CLBJ,Desmodium,Desmodieae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-10-1-No,D11,Desmodium sessifolium,6/13/24,0.488,96.624,Quarter,CLBJ-10,dry,nodule,Fabaceae,CLBJ,Desmodium,Desmodieae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-11-1-Rh,D11,Pediomelum rhombifolium,6/13/24,0,0,Quarter,CLBJ-11,dry,rhizosphere,Fabaceae,CLBJ,Pediomelum,Psoraleeae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-11-1-Ro,D11,Pediomelum rhombifolium,6/13/24,0,0,Quarter,CLBJ-11,dry,root,Fabaceae,CLBJ,Pediomelum,Psoraleeae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-11-1-No,D11,Pediomelum rhombifolium,6/13/24,0,0,Quarter,CLBJ-11,dry,nodule,Fabaceae,CLBJ,Pediomelum,Psoraleeae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-12-2-Rh,D11,Astragalus sp,6/19/24,0,0,Quarter,CLBJ-12,dry,rhizosphere,Fabaceae,CLBJ,Astragalus,Galegeae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-12-2-Ro,D11,Astragalus sp,6/19/24,0,0,Quarter,CLBJ-12,dry,root,Fabaceae,CLBJ,Astragalus,Galegeae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-12-2-No,D11,Astragalus sp,6/19/24,0,0,Quarter,CLBJ-12,dry,nodule,Fabaceae,CLBJ,Astragalus,Galegeae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-13-1-Rh,D11,Lespedeza stuevei,6/19/24,0,0,Quarter,CLBJ-13,dry,rhizosphere,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-13-1-Ro,D11,Lespedeza stuevei,6/19/24,0.0835,4.008,Quarter,CLBJ-13,dry,root,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-13-1-No,D11,Lespedeza stuevei,6/19/24,1.135,54.48,Quarter,CLBJ-13,dry,nodule,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-14-1-Rh,D11,Strophostyles leiosperma,6/19/24,0,0,Quarter,CLBJ-14,dry,rhizosphere,Fabaceae,CLBJ,Strophostyles,Phaseoleae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-14-1-Ro,D11,Strophostyles leiosperma,6/19/24,0,0,Quarter,CLBJ-14,dry,root,Fabaceae,CLBJ,Strophostyles,Phaseoleae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-14-1-No,D11,Strophostyles leiosperma,6/19/24,9.205,441.84,Half,CLBJ-14,dry,nodule,Fabaceae,CLBJ,Strophostyles,Phaseoleae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
