sample	length	N_count	N_percent	ACGT_count
TOOL-35-1-No	894	0	0.0000	894
TOOL-3-No	894	132	14.7651	762
TOOL-4-No	894	22	2.4609	872
TOOL-5-No	894	139	15.5481	755
TOOL-6-No	894	35	3.9150	859
TOOL-7-No	894	63	7.0470	831
TOOL-8-No	894	0	0.0000	894
TOOL-9-No	894	0	0.0000	894
WOOD-1-1-No	894	39	4.3624	855
WOOD-12-No	894	15	1.6779	879
WOOD-4-1-No	894	40	4.4743	854
WOOD-5-1-No	894	12	1.3423	882
YELL-11-No	894	109	12.1924	785
