sample	sample_group	good_target_regions	good_genes	median_percent_covered	median_mean_depth	max_mean_depth
HEAL-3-1-Rh	Rh	22	12	3.0355	1.4455	4232.5702
HEAL-3-1-Ro	Ro	3	2	4.7341	0.2596	145.3789
HEAL-4-1-No	No	19	10	31.0935	0.9924	7898.7803
HEAL-4-1-Rh	Rh	11	6	1.1092	0.0171	4760.9381
HEAL-4-1-Ro	Ro	6	4	7.6282	0.5614	403.3281
HEAL-5-2-No	No	19	13	37.3111	1.4299	7892.6458
HEAL-5-2-Rh	Rh	9	6	0.0000	0.0000	3102.7784
HEAL-5-2-Ro	Ro	4	4	0.0000	0.0000	278.6956
HEAL-6-1-No	No	2	2	0.0000	0.0000	14.0093
HEAL-6-1-Rh	Rh	21	10	4.0650	1.6400	5287.9554
HEAL-6-1-Ro	Ro	3	3	3.8934	0.2446	1141.1018
HEAL-7-1-No	No	15	10	1.4706	0.1152	7881.6042
HEAL-7-1-Rh	Rh	24	12	5.8201	0.8480	4223.4983
HEAL-7-1-Ro	Ro	26	17	0.0000	0.0000	738.3872
HEAL-8-1-No	No	13	10	18.1757	0.5350	7912.0787
HEAL-8-1-Rh	Rh	15	7	0.0000	0.0000	2842.0998
HEAL-8-1-Ro	Ro	10	5	5.2910	0.4561	884.7263
HEAL-9-1-No	No	27	13	17.5685	0.7122	7875.9699
JERC-100-1-No	No	16	8	3.7893	0.2301	1154.0045
JERC-100-1-Rh	Rh	34	17	12.0240	0.9369	4884.6158
JERC-100-1-Ro	Ro	27	13	3.8130	0.1302	344.2789
JERC-102-1-No	No	24	14	1.7544	0.0530	7927.4674
JERC-102-1-Rh	Rh	28	13	26.9896	1.0835	4855.8756
JERC-102-1-Ro	Ro	19	11	15.4545	0.6433	437.1772
JERC-106-1-No	No	26	16	7.2727	1.4729	7402.2582
JERC-106-1-Rh	Rh	12	7	10.8077	1.6176	3616.5502
JERC-109-1-No	No	22	13	7.6865	1.8760	7370.3127
JERC-109-1-Rh	Rh	8	5	7.3906	0.7333	3702.7947
JERC-111-3-No	No	22	15	5.0935	0.7849	6317.4825
JERC-111-3-Rh	Rh	15	9	5.4545	0.6919	6034.9175
JERC-112-1-No	No	10	5	3.5494	0.2103	318.4649
JERC-112-1-Rh	Rh	16	9	6.4538	0.6970	3539.9002
JERC-113-3-No	No	25	13	7.3643	1.0015	7116.8862
JERC-113-3-Rh	Rh	13	7	5.8188	0.5455	5717.0544
JERC-114-3-No	No	27	20	12.2538	1.0939	7545.3799
JERC-114-3-Rh	Rh	16	10	5.2478	0.7483	5873.0421
JERC-129-4-No	No	13	7	4.2793	0.5150	4557.6174
JERC-129-4-Rh	Rh	21	10	6.4626	1.3917	3631.5488
JERC-129-4-Ro	Ro	18	10	6.0000	0.2572	442.5908
JERC-131-No	No	34	12	9.5328	1.1786	7445.1477
JERC-131-Rh	Rh	11	6	1.5833	0.0446	1982.0550
JERC-131-Ro	Ro	10	5	2.1764	0.0943	3596.2581
JERC-132-3-No	No	2	2	0.0000	0.0000	244.3991
JERC-132-3-Rh	Rh	14	8	11.4708	0.6111	2803.4757
JERC-132-3-Ro	Ro	13	7	5.5046	0.2532	683.8140
JERC-134-3-No	No	5	4	5.2811	0.2251	90.3509
JERC-134-3-Rh	Rh	11	7	8.3333	0.7663	3965.1710
JERC-134-3-Ro	Ro	22	9	26.0215	0.9183	198.9368
JERC-135-3-No	No	33	22	8.5586	1.1516	7146.8250
JERC-135-3-Rh	Rh	19	12	7.5672	1.1925	5121.5363
JERC-135-3-Ro	Ro	2	2	0.0000	0.0000	34.7419
JERC-136-No	No	4	3	0.0000	0.0000	716.3962
JERC-136-Rh	Rh	10	7	10.6291	0.7261	2271.8310
JERC-136-Ro	Ro	7	5	2.5822	0.1010	573.3140
