sample	sample_group	good_target_regions	good_genes	median_percent_covered	median_mean_depth	max_mean_depth
JERC-202-1-Rh	Rh	19	11	7.7441	0.7756	1881.1667
JERC-202-1-Ro	Ro	11	5	0.0000	0.0000	129.8579
JERC-203-1-No	No	49	20	13.1579	2.6678	7661.0972
JERC-203-1-Rh	Rh	15	9	1.4726	0.0546	4475.4982
JERC-203-1-Ro	Ro	20	9	2.1324	0.1120	307.9439
JERC-204-1-No	No	15	8	10.6212	2.6570	5887.2456
JERC-204-1-Rh	Rh	12	7	7.4830	1.3160	4264.1151
JERC-204-1-Ro	Ro	24	17	2.5123	0.0428	246.4754
JERC-87-1-No	No	43	20	7.1481	0.5254	7874.3744
JERC-87-1-Rh	Rh	27	15	6.5574	0.4025	1594.3053
JERC-87-1-Ro	Ro	20	14	6.5000	0.4091	3376.9175
JERC-88-1-No	No	29	21	4.3651	0.1862	7904.1503
JERC-88-1-Rh	Rh	21	18	9.0090	0.5517	1619.9018
JERC-88-1-Ro	Ro	12	5	5.6325	0.2677	3918.2053
JERC-89-1-No	No	40	19	6.1111	0.2853	7941.9951
JERC-89-1-Rh	Rh	17	11	6.9691	0.3414	3126.2579
JERC-89-1-Ro	Ro	39	21	5.8211	0.3121	7945.1788
JERC-90-1-No	No	46	17	21.2121	0.8627	7948.4245
JERC-90-1-Rh	Rh	40	18	17.1717	1.3887	4067.3477
JERC-90-1-Ro	Ro	57	21	38.4248	1.9067	933.1158
JERC-91-1-No	No	31	18	5.1184	0.2928	4837.5404
JERC-91-1-Rh	Rh	16	8	4.5977	0.1930	2362.2333
JERC-91-1-Ro	Ro	16	9	14.9804	0.5223	777.1579
JERC-93-1-No	No	36	21	19.2901	1.6332	7466.8915
JERC-93-1-Rh	Rh	20	10	6.0606	0.3736	1444.3260
JERC-93-1-Ro	Ro	15	10	3.8153	0.1106	139.2278
JERC-94-1-No	No	45	19	24.7768	3.3316	7915.7371
JERC-94-1-Rh	Rh	23	9	12.4918	2.9861	5489.0982
JERC-94-1-Ro	Ro	21	9	6.7524	0.2658	502.3877
JERC-CHNI-86-4-No	No	55	26	12.2066	5.8010	7417.8644
JERC-CHNI-86-4-Rh	Rh	15	8	5.5556	0.6110	5565.8281
JERC-CRJU-86-1-No	No	30	17	10.6977	1.7012	7476.8011
JERC-CRJU-86-1-Rh	Rh	18	13	4.8843	0.5176	2353.1140
JERC-CRJU-86-1-Ro	Ro	4	3	1.4945	0.0455	1133.8702
KONA-1-1-No	No	41	21	10.7034	0.9415	7725.7638
LAJA-1-1-No	No	22	10	21.9608	1.6933	5798.4410
LAJA-1-1-Rh	Rh	25	19	5.1515	0.3198	607.4509
LAJA-1-1-Ro	Ro	7	3	8.2990	0.3441	97.9263
LAJA-1-2-No	No	20	10	12.0581	1.4192	5763.7971
LAJA-1-2-Rh	Rh	48	25	30.7692	3.3955	966.8632
LAJA-1-2-Ro	Ro	16	7	18.2648	1.4989	1537.0079
LAJA-1-3-No	No	35	23	14.2857	1.1867	7909.6546
LAJA-1-3-Rh	Rh	41	17	41.5000	5.8311	3268.0340
LAJA-1-3-Ro	Ro	20	9	16.7500	1.6471	3289.4739
LAJA-10-1-No	No	25	20	5.9572	0.8802	7035.2190
LAJA-10-1-Rh	Rh	20	17	4.7619	0.4042	4294.1982
LAJA-10-1-Ro	Ro	12	8	0.0000	0.0000	64.8333
LAJA-11-3-No	No	45	20	21.1538	4.5180	7919.5831
LAJA-11-3-Rh	Rh	38	18	25.0000	4.1573	914.2772
LAJA-11-3-Ro	Ro	21	16	5.8075	0.4134	345.7912
LAJA-12-1-No	No	28	15	13.0303	4.2570	6658.7228
LAJA-12-1-Rh	Rh	25	19	13.7255	2.4366	1048.3439
LAJA-12-1-Ro	Ro	39	20	14.3898	1.7255	762.7611
LAJA-13-3-No	No	48	24	9.3259	1.2052	7944.9233
LAJA-13-3-Rh	Rh	40	22	25.3429	2.5594	654.0123
LAJA-13-3-Ro	Ro	35	23	13.9314	1.5033	6856.5578
LAJA-14-1-No	No	50	23	18.3788	2.9679	7884.9955
LAJA-14-1-Rh	Rh	41	21	27.7217	2.6701	7850.1537
LAJA-14-1-Ro	Ro	40	22	22.0363	2.1930	2075.5774
LAJA-15-1-No	No	25	20	4.0650	0.1115	7916.9441
LAJA-15-1-Rh	Rh	40	21	19.9730	1.9094	3089.4399
LAJA-15-1-Ro	Ro	35	21	23.1037	2.2200	1869.5189
LAJA-16-2-No	No	41	22	17.6403	3.6961	7903.4592
LAJA-16-2-Rh	Rh	30	19	6.4339	1.6216	943.8122
LAJA-16-2-Ro	Ro	51	25	16.4721	1.4899	6849.2460
LAJA-17-1-No	No	41	21	20.9212	5.2639	7760.2554
LAJA-17-1-Rh	Rh	48	21	34.4488	6.3583	1399.2488
LAJA-17-1-Ro	Ro	47	22	30.0795	5.2943	1567.1484
LAJA-18-1-No	No	48	21	20.1282	1.6826	7930.8463
LAJA-18-1-Rh	Rh	46	26	9.3677	1.3662	2467.6307
LAJA-18-1-Ro	Ro	23	20	3.1746	0.4000	444.6263
LAJA-19-2-No	No	28	21	10.5556	2.2121	6979.8554
LAJA-19-2-Rh	Rh	37	20	29.1667	3.2073	1163.3702
LAJA-19-2-Ro	Ro	35	23	4.4936	0.2243	172.1930
LAJA-2-1-No	No	32	23	9.6939	1.2734	7791.3681
LAJA-2-1-Rh	Rh	15	7	12.4161	1.3465	4008.8530
LAJA-2-1-Ro	Ro	31	23	11.1373	0.8687	1974.3832
LAJA-2-2-No	No	38	23	15.3729	1.5389	7780.0423
LAJA-2-2-Rh	Rh	40	18	35.6164	4.0870	2309.5941
LAJA-2-2-Ro	Ro	37	23	21.7054	2.5021	5445.7551
LAJA-2-3-No	No	52	25	24.5614	3.4486	7946.5783
LAJA-2-3-Rh	Rh	65	26	37.6586	6.1723	2579.8776
LAJA-2-3-Ro	Ro	36	23	14.5442	1.4394	7339.7640
LAJA-20-1-Rh	Rh	35	20	22.1615	2.5193	638.3667
LAJA-21-1-No	No	41	22	17.6143	1.5616	7929.2384
LAJA-24-2-No	No	14	10	14.1721	0.6855	3585.4311
LAJA-24-2-Rh	Rh	6	4	2.8860	0.1499	1128.2860
LAJA-24-2-Ro	Ro	0	0	0.0000	0.0000	45.1092
LAJA-25-1-No	No	39	17	11.0469	2.2185	7041.4702
LAJA-25-1-Rh	Rh	7	4	13.7961	0.9528	932.4439
LAJA-25-1-Ro	Ro	17	10	13.1313	0.7086	300.8193
LAJA-26-1-No	No	25	9	16.7015	2.2298	7155.8193
LAJA-26-1-Rh	Rh	20	10	15.6673	1.1743	604.3088
LAJA-26-1-Ro	Ro	20	10	8.6310	0.3860	201.6158
LAJA-3-1-No	No	24	11	15.4930	1.4905	7640.1158
LAJA-3-1-Rh	Rh	26	9	32.7564	2.8121	1505.4579
LAJA-3-1-Ro	Ro	20	10	17.6768	0.6360	141.5702
LAJA-3-2-No	No	40	19	31.5104	3.9571	7646.3509
LAJA-3-2-Rh	Rh	33	12	31.6413	2.1162	7637.7561
LAJA-3-2-Ro	Ro	19	8	20.2186	1.3173	314.1193
LAJA-3-3-No	No	34	13	35.1562	4.1091	7654.9193
LAJA-3-3-Rh	Rh	31	8	39.3814	2.9425	2526.8456
LAJA-3-3-Ro	Ro	14	6	11.8068	0.8650	243.8596
LAJA-4-1-No	No	25	11	16.4297	1.5038	5133.2535
LAJA-4-1-Rh	Rh	10	7	7.8704	0.8444	5553.4198
LAJA-4-1-Ro	Ro	13	8	13.9167	0.7542	738.6680
LAJA-5-1-No	No	36	14	13.5870	13.9562	7268.3747
LAJA-5-1-Rh	Rh	17	7	18.0805	2.4555	1116.8789
LAJA-5-1-Ro	Ro	10	6	4.1667	0.2572	154.8491
LAJA-6-1-No	No	40	14	32.0862	4.7389	7301.2271
LAJA-6-1-Rh	Rh	49	15	35.7773	5.3611	6901.4776
LAJA-6-1-Ro	Ro	15	9	6.2016	0.2613	156.9228
LAJA-7-1-No	No	40	21	20.4613	1.9198	7918.0994
LAJA-7-1-Rh	Rh	65	26	36.7003	3.6528	1136.6793
LAJA-7-1-Ro	Ro	45	20	18.0995	1.5274	1581.0432
LAJA-8-2-No	No	17	10	12.3202	2.3757	7452.8526
LAJA-8-2-Rh	Rh	19	10	20.4811	1.8122	828.5509
LAJA-8-2-Ro	Ro	12	5	6.9264	0.4420	353.8088
LAJA-9-1-No	No	29	21	15.5785	4.6358	7921.5537
LAJA-9-1-Rh	Rh	31	21	8.6758	1.4729	7874.5401
LAJA-9-1-Ro	Ro	36	21	18.5185	3.3333	7224.8893
LENO-15-2-No	No	57	23	34.1667	2.1137	7472.9815
LENO-15-2-Rh	Rh	25	19	11.8166	0.3275	433.9107
LENO-16-2-No	No	31	13	34.1935	2.9292	7491.2153
LENO-16-2-Rh	Rh	30	21	8.4656	0.3479	1354.3493
MLBS-2-1-No	No	22	10	4.1215	0.2408	1977.6649
NIWO-1-No	No	24	17	7.4468	0.6295	7893.5059
NIWO-1-Rh	Rh	22	13	13.5286	1.1244	1326.8350
NIWO-1-Ro	Ro	13	7	11.0092	0.6667	993.3579
NIWO-2-No	No	14	9	5.8081	0.6224	1051.9479
NIWO-2-Rh	Rh	15	9	9.9927	0.4606	1191.7895
NIWO-2-Ro	Ro	3	2	0.0000	0.0000	545.1583
NOGP-1-1-No	No	20	16	1.6420	0.0562	7926.2919
NOGP-1-1-Rh	Rh	28	16	2.7894	0.2418	1429.1035
NOGP-1-1-Ro	Ro	19	15	5.0125	0.1892	48.9735
NOGP-2-1-No	No	33	17	7.2391	1.4275	7869.6916
NOGP-2-1-Rh	Rh	31	16	5.0881	0.3634	2874.0175
NOGP-2-1-Ro	Ro	22	16	3.3764	0.1307	7922.1698
NOGP-3-2-No	No	22	16	3.4632	0.1945	7944.6968
NOGP-3-2-Rh	Rh	32	17	1.9250	0.0414	629.1929
