gene	in_summary_all_genes	in_genes_sheet_reconciled	keep_yes	in_taxon_fastas_by_gene	taxon_file
nifB	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifB.fa.aln
nifD	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifD.fa.aln
nifE	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifE.fa.aln
nifH	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifH.fa.aln
nifJ	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifJ.fa.aln
nifK	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifK.fa.aln
nifM	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifM.fa.aln
nifN	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifN.fa.aln
nifQ	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifQ.fa.aln
nifS	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifS.fa.aln
