gene	tree_set	tree_set_label	label_type	n_tips	n_groups	observed_mean_distance	random_mean_distance	clustering_ratio	p_value	fdr	significance	interpretation
nolF	iupac	Mixed-IUPAC	site	186	13	0.00611126552502697	0.007536632854535876	0.8108747822774653	0.001	0.0016666666666666668	**	same-label tips are closer than random
nolF	iupac	Mixed-IUPAC	state	189	9	0.007294006426271426	0.0075455540176980595	0.9666628068877872	0.269	0.33625000000000005	ns	no strong clustering evidence
nolF	iupac	Mixed-IUPAC	closest_blast_genus	209	1	NA	NA	NA	NA	NA	not_tested	not tested
noeA	strict	Strict single-dominant	site	168	12	0.004944667706801152	0.004852843904348325	1.018921647648825	0.648	0.81	ns	no strong clustering evidence
noeA	strict	Strict single-dominant	state	174	9	0.005297930881215638	0.004856016186803358	1.0910035464076955	0.983	1	ns	no strong clustering evidence
noeA	strict	Strict single-dominant	closest_blast_genus	192	1	NA	NA	NA	NA	NA	not_tested	not tested
noeA	iupac	Mixed-IUPAC	site	170	12	0.003498940636564626	0.003519172387694214	0.9942509917387582	0.478	0.5974999999999999	ns	no strong clustering evidence
noeA	iupac	Mixed-IUPAC	state	176	9	0.0036916988928443646	0.003524093201735427	1.047559948478775	0.807	0.8966666666666667	ns	no strong clustering evidence
noeA	iupac	Mixed-IUPAC	closest_blast_genus	194	1	NA	NA	NA	NA	NA	not_tested	not tested
noeB	strict	Strict single-dominant	site	105	7	0.016897686351882463	0.015491322158782843	1.0907840001443827	0.932	0.993	ns	no strong clustering evidence
noeB	strict	Strict single-dominant	state	113	5	0.017566139956256308	0.015507443387045976	1.1327553819045406	1	1	ns	no strong clustering evidence
noeB	strict	Strict single-dominant	closest_blast_genus	132	1	NA	NA	NA	NA	NA	not_tested	not tested
noeB	iupac	Mixed-IUPAC	site	122	7	0.014588513408611729	0.013728619559122076	1.0626351284472946	0.925	0.997	ns	no strong clustering evidence
noeB	iupac	Mixed-IUPAC	state	130	5	0.01475457949358974	0.013697114902605556	1.077203454778862	0.981	0.981	ns	no strong clustering evidence
noeB	iupac	Mixed-IUPAC	closest_blast_genus	149	1	NA	NA	NA	NA	NA	not_tested	not tested
nodX	strict	Strict single-dominant	site	97	10	0.03135341977733333	0.041805780491853406	0.7499780989244561	0.001	0.0016666666666666668	**	same-label tips are closer than random
nodX	strict	Strict single-dominant	state	109	9	0.035964983434880235	0.04181462497988692	0.860105368688099	0.025	0.03571428571428572	*	same-label tips are closer than random
nodX	strict	Strict single-dominant	closest_blast_genus	129	1	NA	NA	NA	NA	NA	not_tested	not tested
nodX	iupac	Mixed-IUPAC	site	100	10	0.02801229023354298	0.03686693797495105	0.759821449033161	0.002	0.002857142857142857	**	same-label tips are closer than random
nodX	iupac	Mixed-IUPAC	state	112	9	0.03196201048601998	0.0369100739123543	0.8659427386115818	0.026	0.043333333333333335	*	same-label tips are closer than random
nodX	iupac	Mixed-IUPAC	closest_blast_genus	133	1	NA	NA	NA	NA	NA	not_tested	not tested
