gene	gene_group	total_samples	good_samples_pct80_depth10	good_sample_gene_rows	percent_samples_good	mean_percent_covered	median_percent_covered	mean_depth	median_depth
nifD	nif	2907	1497	1497	51.496388028895765	75.79927653938769	80.7441	1201.121586721706	1201.121586721706
nifH	nif	2907	1572	1572	54.076367389060884	76.51313460612315	80.6419	1551.8800399380807	1551.8800399380807
nifJ	nif	2907	328	328	11.28310973512212	37.959082249742	29.6769	279.9609377020985	279.9609377020985
nifK	nif	2907	1088	1088	37.42690058479532	63.2545786377709	69.4553	575.241069865841	575.241069865841
nodL	nod/nol/noe	2907	239	239	8.221534227726178	26.046381733746127	10.6209	127.90584592363291	127.90584592363291
nodX	nod/nol/noe	2907	137	137	4.712762297901617	14.470589886480916	0	51.14552005503938	51.14552005503938
noeA	nod/nol/noe	2907	197	197	6.776745786033712	19.74952559339521	0	99.77322225662208	99.77322225662208
noeB	nod/nol/noe	2907	149	149	5.125558995528036	17.7479368077055	0	90.95144998280006	90.95144998280006
nolF	nod/nol/noe	2907	209	209	7.189542483660131	20.245199243206034	1.7117	99.78150639834887	99.78150639834887
nolG	nod/nol/noe	2907	230	230	7.911936704506364	20.960263880288963	2.4078	102.564324011008	102.564324011008
