source_file	source_file_name	tree_set	gene	sample_id	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	BLAN-4-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.605	777	50.718	0	1103	Sinorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	BLAN-4-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	90.09	777	50.718	0	1107	Sinorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	BONA-13-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	86.698	1293	84.3995	0	1513	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	BONA-14-No|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._WSM4083	Mesorhizobium	nifD|Mesorhizobium_sp._WSM4083|XXN81543.1	Mesorhizobium_sp._WSM4083	84.509	1304	85.1175	0	1430	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	BONA-2-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._WSM2240	Mesorhizobium	nifD|Mesorhizobium_sp._WSM2240|XCG49716.1	Mesorhizobium_sp._WSM2240	87.848	1292	84.3342	0	1616	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	BONA-2-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	82.679	1299	84.7911	0	1310	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	BONA-4-No|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_lotononidis	Microvirga	nifD|Microvirga_lotononidis|WQO30063.1	Microvirga_lotononidis	83.563	1308	85.3786	0	1402	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	BONA-4-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	84.911	1299	84.7911	0	1386	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-1-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	Rhizobium_leguminosarum	Rhizobium	nifD|Rhizobium_leguminosarum|XKQ44607.1	Rhizobium_leguminosarum	93.502	1308	85.3786	0	1997	Rhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-1-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	84.811	1297	84.6606	0	1581	Mesorhizobium	Mixed-IUPAC
