gene	tree_set	tree_set_label	label_type	label_type_report	label_value	expected_ntaxa	ntaxa	ntaxa_matches_expected	mpd	mpd_random	mpd_sd	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	mntd_sd	nti	p_mntd_cluster	fdr_mntd	randomizations	min_group_size	phylocom_status	interpretation
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Amorpha	34	34	TRUE	0.2542	0.3043	0.022	2.2815	0.007	0.027854166666666666	0.0481	0.0962	0.0116	4.1272	0.001	0.004547619047619048	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Macroptilium	13	13	TRUE	0.2051	0.3043	0.0389	2.5508	0.007	0.027854166666666666	0.0662	0.1341	0.0237	2.863	0.002	0.00848888888888889	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Dalea	44	44	TRUE	0.2518	0.2954	0.0195	2.2307	0.009	0.03183333333333333	0.0443	0.0881	0.0095	4.5791	0.001	0.004547619047619048	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Mimosa	15	15	TRUE	0.2224	0.3038	0.035	2.3288	0.009	0.03183333333333333	0.0796	0.1274	0.0213	2.2438	0.011	0.032828125	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Albizia	16	16	TRUE	0.2391	0.3069	0.0328	2.0695	0.014	0.04532203389830508	0.0836	0.1218	0.0222	1.7198	0.037	0.08945569620253165	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Strophostyles	11	11	TRUE	0.2217	0.3066	0.0429	1.9796	0.02	0.06063492063492063	0.077	0.1417	0.0281	2.3033	0.008	0.025466666666666665	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Morella	29	29	TRUE	0.2544	0.3028	0.0252	1.9206	0.025	0.07234848484848486	0.0719	0.1034	0.014	2.2588	0.007	0.023051724137931034	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Pediomelum	8	8	TRUE	0.2176	0.3033	0.0509	1.6842	0.037	0.10095714285714286	0.0906	0.1582	0.035	1.9298	0.018	0.05131343283582089	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Aeschynomene	7	7	TRUE	0.2247	0.3063	0.0528	1.5462	0.047	0.11969333333333335	0.0876	0.1648	0.0387	1.992	0.01	0.030317460317460316	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Desmanthus	9	9	TRUE	0.2261	0.2938	0.0474	1.4298	0.069	0.14976136363636364	0.0978	0.1454	0.032	1.4894	0.052	0.11416091954022987	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Stylosanthes	23	23	TRUE	0.2602	0.3042	0.0294	1.4959	0.069	0.14976136363636364	0.103	0.1103	0.0163	0.4452	0.336	0.49748837209302327	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Baptisia	5	5	TRUE	0.2105	0.2993	0.0651	1.3618	0.071	0.15237078651685393	0.1193	0.1837	0.051	1.2634	0.095	0.1778921568627451	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Chamaecrista	52	52	TRUE	0.2717	0.2965	0.0177	1.3993	0.079	0.16765555555555556	0.0694	0.0828	0.0086	1.5526	0.062	0.12801063829787235	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Thermopsis	5	5	TRUE	0.2087	0.3033	0.0683	1.3845	0.081	0.17001098901098902	0.1117	0.1898	0.0516	1.5146	0.056	0.12017977528089889	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Robinia	8	8	TRUE	0.2388	0.3048	0.0491	1.3428	0.083	0.17231521739130437	0.0564	0.1565	0.0341	2.9369	0.001	0.004547619047619048	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Ceanothus	27	27	TRUE	0.2661	0.2996	0.0249	1.3467	0.086	0.17474468085106382	0.0718	0.1012	0.014	2.0943	0.012	0.03526153846153846	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Alysicarpus	8	8	TRUE	0.2458	0.305	0.0482	1.2291	0.106	0.20854081632653063	0.103	0.1568	0.0358	1.5007	0.067	0.13330208333333335	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Rhynchosia	33	33	TRUE	0.2804	0.3029	0.0233	0.9665	0.167	0.28997272727272727	0.0852	0.0981	0.012	1.0799	0.153	0.27058333333333334	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Acmispon	6	6	TRUE	0.2564	0.3049	0.059	0.8213	0.196	0.3312920353982301	0.1367	0.1744	0.046	0.8208	0.206	0.34213913043478256	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Dryas	43	43	TRUE	0.2771	0.2935	0.0214	0.7644	0.218	0.3575128205128205	0.0665	0.0899	0.0098	2.3881	0.006	0.020464285714285713	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Sesbania	30	30	TRUE	0.2864	0.3048	0.0249	0.7397	0.229	0.36755462184873955	0.0345	0.1017	0.0129	5.1929	0.001	0.004547619047619048	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Elaeagnus	23	23	TRUE	0.2761	0.2935	0.0297	0.5867	0.274	0.425479674796748	0.1089	0.1081	0.0155	-0.0501	0.51	0.6576040268456376	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Lespedeza	125	125	TRUE	0.2931	0.2972	0.0123	0.3307	0.358	0.5259846153846154	0.0567	0.0648	0.0042	1.8964	0.027	0.07064383561643835	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Amphicarpaea	19	19	TRUE	0.3006	0.3055	0.0319	0.1527	0.444	0.6101007194244604	0.1133	0.1166	0.0189	0.1726	0.444	0.593034965034965	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Tephrosia	43	43	TRUE	0.3008	0.3038	0.0204	0.1502	0.443	0.6101007194244604	0.0959	0.0909	0.0097	-0.5221	0.717	0.805570588235294	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Glycine	13	13	TRUE	0.2952	0.2962	0.039	0.0248	0.503	0.6625724137931034	0.0889	0.1304	0.0244	1.7014	0.039	0.0931125	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Chapmannia	8	8	TRUE	0.3078	0.2952	0.0502	-0.25	0.618	0.7803355263157894	0.1826	0.152	0.0344	-0.8897	0.812	0.8664357541899441	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Lupinus	65	65	TRUE	0.3094	0.3	0.0162	-0.5839	0.721	0.8752151898734177	0.0573	0.0802	0.0067	3.4209	0.001	0.004547619047619048	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Centrosema	10	10	TRUE	0.3461	0.3005	0.0429	-1.0651	0.859	0.9708224852071006	0.1625	0.1424	0.0291	-0.6917	0.754	0.8372906976744185	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Kummerowia	6	6	TRUE	0.3819	0.2932	0.061	-1.4549	0.914	0.9970847457627119	0.2013	0.1689	0.0437	-0.7424	0.782	0.8486477272727273	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Alnus	68	68	TRUE	0.3318	0.3059	0.0159	-1.6269	0.947	0.9993204419889503	0.0677	0.0772	0.0067	1.4245	0.086	0.16426	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Host genus	Trifolium	16	16	TRUE	0.356	0.303	0.0333	-1.59	0.944	0.9993204419889503	0.0873	0.1235	0.0205	1.7597	0.033	0.08404	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Crotalarieae	62	62	TRUE	0.2255	0.2964	0.0166	4.2831	0.001	0.005736842105263157	0.0666	0.0789	0.0075	1.6502	0.044	0.0940392156862745	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Diocleae	47	47	TRUE	0.2293	0.2951	0.0197	3.3407	0.001	0.005736842105263157	0.0706	0.087	0.0087	1.8774	0.026	0.06297777777777777	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Galegeae	144	144	TRUE	0.2037	0.2964	0.0108	8.5776	0.001	0.005736842105263157	0.0317	0.062	0.0037	8.1572	0.001	0.004541666666666667	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Indigofereae	14	14	TRUE	0.1652	0.3018	0.0365	3.7381	0.001	0.005736842105263157	0.0896	0.1293	0.0228	1.7384	0.028	0.06634782608695652	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Loteae	30	30	TRUE	0.1178	0.3018	0.0246	7.4819	0.001	0.005736842105263157	0.0313	0.1019	0.013	5.44	0.001	0.004541666666666667	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Trifolieae	107	107	TRUE	0.2198	0.3026	0.0124	6.6971	0.001	0.005736842105263157	0.0351	0.0688	0.0045	7.5209	0.001	0.004541666666666667	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Amorpheae	78	78	TRUE	0.264	0.3034	0.0138	2.8631	0.003	0.013080000000000001	0.041	0.0742	0.0059	5.5863	0.001	0.004541666666666667	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Fabeae	21	21	TRUE	0.2071	0.293	0.0308	2.7923	0.003	0.013080000000000001	0.0546	0.1107	0.0167	3.3697	0.001	0.004541666666666667	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Psoraleeae	11	11	TRUE	0.2081	0.3051	0.0427	2.2728	0.012	0.03737142857142857	0.081	0.1412	0.0276	2.1762	0.007	0.0218	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Desmodieae	319	319	TRUE	0.282	0.2946	0.0066	1.9111	0.029	0.08105128205128205	0.044	0.0478	0.0019	2.0302	0.026	0.06297777777777777	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Dalbergieae	43	43	TRUE	0.266	0.296	0.0191	1.5664	0.053	0.13129545454545452	0.0946	0.0886	0.0098	-0.6089	0.741	0.8731720430107527	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Cassieae	53	53	TRUE	0.2709	0.298	0.0171	1.5849	0.057	0.13506521739130434	0.0693	0.0822	0.0081	1.5924	0.048	0.09871698113207548	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Mimosoideae	52	52	TRUE	0.277	0.303	0.0198	1.3141	0.081	0.18018367346938777	0.0635	0.0865	0.0089	2.5729	0.004	0.014064516129032258	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Sophoreae	10	10	TRUE	0.2421	0.3052	0.0464	1.3601	0.084	0.18312000000000003	0.0874	0.1462	0.0303	1.9431	0.022	0.05576744186046512	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Sesbanieae	30	30	TRUE	0.2864	0.3053	0.0234	0.8111	0.201	0.35688709677419356	0.0345	0.1017	0.0126	5.3436	0.001	0.004541666666666667	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Phaseoleae	104	104	TRUE	0.2937	0.3033	0.0125	0.7713	0.229	0.39001562500000003	0.0666	0.0694	0.0049	0.5731	0.308	0.5010746268656716	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Millettieae	43	43	TRUE	0.3008	0.3034	0.02	0.132	0.432	0.619578947368421	0.0959	0.0919	0.0097	-0.4212	0.679	0.8133076923076923	999	5	ok	not significant / weak evidence
