tree_set	tree_set_label	gene	closest_genus_report	n	gene_total	percent	phylocom_ntaxa	expected_ntaxa	nri	mpd	mpd_random	p_mpd_cluster	fdr_mpd	nti	p_mntd_cluster	fdr_mntd	randomizations	min_group_size	interpretation	n_matches_phylocom_ntaxa	n_matches_expected_ntaxa
iupac	Mixed-IUPAC	nolG	Sinorhizobium	229	229	100	229	229	4.0258	0.008	0.008	0.001	0.00207142857142857	0.9995	1	1	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifD	Microvirga	107	348	30.74712643678161	107	107	7.1521	0.1926	0.2443	0.001	0.00216666666666666	1.5244	0.064	0.11885714285714288	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifD	Mesorhizobium	104	348	29.885057471264368	104	104	7.0455	0.194	0.246	0.001	0.00216666666666666	2.7598	0.004	0.01155555555555555	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifD	Sinorhizobium	88	348	25.28735632183908	88	88	1.8834	0.228	0.2434	0.035	0.06685714285714285	1.2958	0.085	0.14733333333333334	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	nifD	Rhizobium	19	348	5.459770114942529	19	19	-0.0128	0.2424	0.2421	0.517	0.7074736842105264	2.975	0.001	0.00371428571428571	999	5	significant clustering by MNTD	TRUE	TRUE
strict	Strict single-dominant	nifD	Azorhizobium	16	348	4.597701149425287	16	16	6.929	0.0679	0.2423	0.001	0.00216666666666666	3.2551	0.001	0.00371428571428571	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifD	Bradyrhizobium	6	348	1.7241379310344829	6	6	4.4734	0.0602	0.2437	0.001	0.00216666666666666	2.6002	0.001	0.00371428571428571	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifH	Mesorhizobium	190	387	49.09560723514212	190	190	8.9283	0.1881	0.2348	0.001	0.00216666666666666	6.7431	0.001	0.00371428571428571	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifH	Microvirga	51	387	13.178294573643411	51	51	1.6099	0.2096	0.2305	0.059	0.10226666666666666	-2.1355	0.98	1	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	nifH	Bradyrhizobium	43	387	11.11111111111111	43	43	4.1037	0.1805	0.2383	0.001	0.00216666666666666	2.9539	0.003	0.00975	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifH	Sinorhizobium	42	387	10.852713178294572	42	42	0.8006	0.2217	0.2334	0.219	0.31633333333333336	4.2432	0.001	0.00371428571428571	999	5	significant clustering by MNTD	TRUE	TRUE
strict	Strict single-dominant	nifH	Rhizobium	34	387	8.785529715762275	34	34	-4.6823	0.3097	0.2304	1	1	2.126	0.017	0.04018181818181819	999	5	significant clustering by MNTD	TRUE	TRUE
strict	Strict single-dominant	nifH	Neorhizobium	17	387	4.392764857881137	17	17	1.9303	0.1804	0.2294	0.036	0.06685714285714285	1.7521	0.042	0.084	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	nifH	Burkholderia	5	387	1.2919896640826871	5	5	-0.9616	0.2807	0.2353	0.817	1	0.2206	0.425	0.6138888888888888	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	nifH	Ensifer	5	387	1.2919896640826871	5	5	1.0732	0.182	0.234	0.138	0.21105882352941177	1.17	0.106	0.17225	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	nifJ	Candidatus	181	181	100	181	181	-2.3468	0.0555	0.0555	0.988	1	0.9995	1	1	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	nifK	Sinorhizobium	180	455	39.56043956043956	180	180	17.3098	0.217	0.3328	0.001	0.00216666666666666	0.9184	0.172	0.26305882352941173	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifK	Mesorhizobium	165	455	36.26373626373626	165	165	15.9205	0.228	0.3385	0.001	0.00216666666666666	4.2372	0.001	0.00371428571428571	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifK	Microvirga	62	455	13.626373626373626	62	62	11.2866	0.1788	0.3365	0.001	0.00216666666666666	2.6946	0.006	0.0156	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nifK	Rhizobium	48	455	10.54945054945055	48	48	-6.3948	0.4353	0.3337	1	1	4.0541	0.001	0.00371428571428571	999	5	significant clustering by MNTD	TRUE	TRUE
strict	Strict single-dominant	nodL	Sinorhizobium	196	216	90.74074074074076	196	196	13.5218	0.0402	0.0679	0.001	0.00216666666666666	2.3263	0.029	0.06283333333333334	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nodL	Rhizobium	20	216	9.25925925925926	20	20	-2.3702	0.1095	0.059	0.991	1	-0.0469	0.539	0.7375789473684211	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	nodX	Rhizobium	129	129	100	129	129	-1.9796	0.0418	0.0418	0.973	1	0.9995	1	1	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	noeA	Sinorhizobium	192	193	99.48186528497408	192	192	-2.236	0.0047	0.0047	0.984	1	0.9995	1	1	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	noeB	Sinorhizobium	132	132	100	132	132	6.2099	0.0155	0.0155	0.001	0.00216666666666666	-0.9995	1	1	999	5	significant clustering by MPD	TRUE	TRUE
strict	Strict single-dominant	nolF	Sinorhizobium	208	208	100	208	208	1.3748	0.0072	0.0072	0.079	0.128375	-0.9995	1	1	999	5	not significant / weak evidence	TRUE	TRUE
strict	Strict single-dominant	nolG	Sinorhizobium	201	201	100	201	201	4.7384	0.0086	0.0086	0.001	0.00216666666666666	-0.9995	1	1	999	5	significant clustering by MPD	TRUE	TRUE
