gene	tree_set	tree_set_label	label_type	label_type_report	phylocom_status	p_mpd_cluster	p_mntd_cluster	ntaxa_matches_expected	plot	ntaxa	mpd	mpd_rnd	mpd_sd	nri	mpd_ranklow	mpd_rankhi	mntd	mntd_rnd	mntd_sd	nti	mntd_ranklo	mntd_rankhi	runs	label_value	expected_ntaxa	fdr_mpd	fdr_mntd	interpretation	mpd_random	mntd_random
noeB	strict	Strict single-dominant	site	Site	ok	0.633	0.007	TRUE	site_oaes	36	0.0172	0.0167	0.0019	-0.2784	367	632	0.0017	0.0032	9e-4	1.749	993	6	999	OAES	36	0.8067647058823529	0.03033333333333333	significant clustering by MNTD	NA	NA
noeB	strict	Strict single-dominant	site	Site	ok	0.071	0.25	TRUE	site_scbi	6	0.0096	0.0165	0.0057	1.2192	929	70	0.0043	0.0066	0.0034	0.6809	750	249	999	SCBI	6	0.1619298245614035	0.4452054794520548	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	site	Site	ok	0.675	0.784	TRUE	site_wood	21	0.0173	0.0167	0.0028	-0.2484	325	674	0.0046	0.0038	0.0013	-0.6755	216	783	999	WOOD	21	0.8519417475728157	0.935390625	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	state	State	ok	0.036	0.002	TRUE	state_al	6	0.0087	0.0174	0.0057	1.519	964	35	4e-4	0.007	0.0033	2.0238	998	1	999	AL	6	0.10588235294117647	0.013333333333333334	significant clustering by MNTD	NA	NA
noeB	strict	Strict single-dominant	state	State	ok	0.294	0.119	TRUE	state_co	7	0.0145	0.0175	0.0055	0.5298	706	293	0.0035	0.0066	0.0031	1.0046	881	118	999	CO	7	0.5068965517241378	0.31	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	state	State	ok	0.945	0.929	TRUE	state_nd	50	0.0187	0.0163	0.0015	-1.6122	55	944	0.0037	0.0028	6e-4	-1.5039	71	928	999	ND	50	1	0.9577319587628865	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	state	State	ok	0.69	0.014	TRUE	state_ok	36	0.0172	0.0163	0.002	-0.4494	310	689	0.0017	0.0031	9e-4	1.6352	986	13	999	OK	36	0.8961038961038961	0.06666666666666667	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	state	State	ok	0.001	0.078	TRUE	state_va	14	0.0078	0.0163	0.0035	2.4642	999	0	0.0022	0.0042	0.0018	1.1132	922	77	999	VA	14	0.00625	0.22285714285714286	significant clustering by MPD	NA	NA
noeB	strict	Strict single-dominant	host_genus	Host genus	ok	0.742	0.025	TRUE	host_genus_astragalus	23	0.0184	0.0168	0.0027	-0.5764	258	741	0.0019	0.0036	0.0012	1.4462	975	24	999	Astragalus	23	0.875	0.09722222222222222	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	host_genus	Host genus	ok	0.613	0.647	TRUE	host_genus_dalea	9	0.0169	0.0161	0.0049	-0.1683	387	612	0.0053	0.005	0.0025	-0.1329	353	646	999	Dalea	9	0.7878181818181818	0.7876521739130435	not significant / weak evidence	NA	NA
