gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation	best_nri_for_label	label_rank
noeB	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	149	0.0137	0.0137	-0.3845	0.65	0.9425	0.0013	0.0013	NA	1	1	not significant / weak evidence	16.3398	2
nolF	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	209	0.0075	0.0075	1.1586	0.126	0.19231578947368422	4e-4	4e-4	-0.9995	1	1	not significant / weak evidence	16.3398	2
nolG	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	229	0.008	0.008	4.2463	0.001	0.0020714285714285717	7e-4	7e-4	0.9995	1	1	significant clustering by MPD	16.3398	2
nifD	strict	Strict single-dominant	closest_blast_genus	Azorhizobium	16	0.0679	0.2434	7.1525	0.001	0.0023636363636363638	0.03	0.0973	3.3328	0.001	0.006500000000000001	significant clustering by MPD	7.1525	4
nifD	strict	Strict single-dominant	closest_blast_genus	Mesorhizobium	104	0.194	0.2457	7.0643	0.001	0.0023636363636363638	0.0429	0.0543	2.6842	0.006	0.015600000000000001	significant clustering by MPD	16.2581	2
nifD	strict	Strict single-dominant	closest_blast_genus	Microvirga	107	0.1926	0.2445	7.3428	0.001	0.0023636363636363638	0.0462	0.0522	1.4312	0.072	0.1337142857142857	significant clustering by MPD	11.7235	3
nifD	strict	Strict single-dominant	closest_blast_genus	Bradyrhizobium	6	0.0602	0.2434	4.3757	0.002	0.004333333333333333	0.0375	0.143	2.5656	0.006	0.015600000000000001	significant clustering by MPD	4.3757	5
nifD	strict	Strict single-dominant	closest_blast_genus	Sinorhizobium	88	0.228	0.2434	1.8567	0.032	0.059428571428571435	0.0484	0.0549	1.2892	0.098	0.16986666666666667	not significant / weak evidence	18.4884	1
nifD	strict	Strict single-dominant	closest_blast_genus	Rhizobium	19	0.2424	0.2425	0.0045	0.508	0.6951578947368421	0.0369	0.0893	3.0046	0.002	0.006500000000000001	significant clustering by MNTD	0.0045	8
nifH	strict	Strict single-dominant	closest_blast_genus	Bradyrhizobium	43	0.1805	0.2382	4.1891	0.001	0.0023636363636363638	0.0453	0.0684	2.991	0.002	0.006500000000000001	significant clustering by MPD	4.3757	5
nifH	strict	Strict single-dominant	closest_blast_genus	Mesorhizobium	187	0.1892	0.2348	8.7726	0.001	0.0023636363636363638	0.0267	0.0389	6.4089	0.001	0.006500000000000001	significant clustering by MPD	16.2581	2
nifH	strict	Strict single-dominant	closest_blast_genus	Neorhizobium	17	0.1804	0.2298	2.0913	0.022	0.044	0.0645	0.0916	1.8421	0.028	0.06066666666666666	significant clustering by MPD	2.0913	6
nifH	strict	Strict single-dominant	closest_blast_genus	Microvirga	54	0.2068	0.2305	1.9051	0.039	0.06760000000000001	0.0716	0.0597	-1.8056	0.967	1	not significant / weak evidence	11.7235	3
nifH	strict	Strict single-dominant	closest_blast_genus	Ensifer	5	0.182	0.2358	1.1151	0.149	0.22788235294117645	0.104	0.1499	1.1589	0.123	0.199875	not significant / weak evidence	1.1151	7
nifH	strict	Strict single-dominant	closest_blast_genus	Sinorhizobium	42	0.2217	0.2332	0.7857	0.223	0.3221111111111111	0.0328	0.0672	4.3448	0.001	0.006500000000000001	significant clustering by MNTD	18.4884	1
nifH	strict	Strict single-dominant	closest_blast_genus	Burkholderia	5	0.2807	0.233	-1.0271	0.851	1	0.1416	0.1475	0.1586	0.432	0.624	not significant / weak evidence	-1.0271	9
nifH	strict	Strict single-dominant	closest_blast_genus	Rhizobium	34	0.3097	0.2312	-4.671	1	1	0.0517	0.0718	2.0987	0.009	0.021272727272727273	significant clustering by MNTD	0.0045	8
nifJ	strict	Strict single-dominant	closest_blast_genus	Candidatus	181	0.0555	0.0555	-2.3935	0.989	1	0.0075	0.0075	0.9995	1	1	not significant / weak evidence	-2.3935	10
nifK	strict	Strict single-dominant	closest_blast_genus	Mesorhizobium	165	0.228	0.3383	16.2581	0.001	0.0023636363636363638	0.0384	0.0484	4.0823	0.002	0.006500000000000001	significant clustering by MPD	16.2581	2
