gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation
nifD	iupac	Mixed-IUPAC	host_genus	Pediomelum	8	0.2176	0.3014	1.6527	0.049	0.12314473684210527	0.0906	0.1563	1.895	0.02	0.05617647058823529	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Stylosanthes	23	0.2602	0.3038	1.5391	0.052	0.12733333333333333	0.103	0.1112	0.5131	0.308	0.45959374999999997	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Aeschynomene	7	0.2247	0.3072	1.5359	0.057	0.13608750000000003	0.0876	0.1666	1.9863	0.016	0.04701538461538462	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Thermopsis	5	0.2087	0.3024	1.4253	0.061	0.1370705882352941	0.1117	0.1873	1.452	0.058	0.12173626373626374	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Desmanthus	9	0.2261	0.2948	1.4437	0.071	0.15587356321839077	0.0978	0.1458	1.4874	0.064	0.12932291666666668	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Baptisia	5	0.2105	0.2979	1.3536	0.076	0.16310112359550563	0.1193	0.1842	1.2702	0.104	0.19099999999999998	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Chamaecrista	52	0.2717	0.2962	1.4191	0.078	0.16553333333333334	0.0694	0.0829	1.6664	0.046	0.10561176470588235	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Ceanothus	27	0.2661	0.2988	1.3047	0.089	0.18084042553191487	0.0718	0.1008	2.0877	0.018	0.05209090909090909	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Robinia	8	0.2388	0.3043	1.2717	0.096	0.191	0.0564	0.1575	2.8418	0.001	0.004897435897435898	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Alysicarpus	8	0.2458	0.3052	1.2328	0.101	0.1968469387755102	0.103	0.1554	1.4961	0.061	0.12664130434782608	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Rhynchosia	33	0.2804	0.3038	1.0256	0.149	0.27103809523809524	0.0852	0.0985	1.1292	0.13	0.23424528301886793	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Acmispon	6	0.2564	0.3066	0.9049	0.192	0.3245309734513274	0.1367	0.1741	0.882	0.197	0.3305130434782609	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Dryas	43	0.2771	0.2927	0.7192	0.247	0.3866967213114754	0.0665	0.0894	2.2389	0.015	0.045476190476190476	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Sesbania	30	0.2864	0.3042	0.7072	0.246	0.3866967213114754	0.0345	0.1016	5.2008	0.001	0.004897435897435898	significant clustering by MNTD
