gene	tree_set	tree_set_label	label_type	group	n_tips	mean_within_tree_distance	median_within_tree_distance	min_within_tree_distance	max_within_tree_distance	mean_between_group_distance	within_between_ratio
nifD	iupac	Mixed-IUPAC	site	SERC	7	0.3545681165047619	0.38342633940000004	0.1355820426	0.5694850567	0.3604559654475928	0.9836655527797419
nifD	iupac	Mixed-IUPAC	site	DEJU	54	0.3571591562034941	0.34990407799999995	0.0037746571000000003	0.7182971047	0.34098226204450216	1.047442040128412
nifD	iupac	Mixed-IUPAC	site	BLAN	12	0.36477883554848484	0.41322948819999994	0.0020801642	0.6064167173999999	0.3554786201895201	1.026162516761223
nifD	iupac	Mixed-IUPAC	site	SCBI	24	0.3659964932800725	0.3534804968	0.0586632062	0.8433141955000001	0.3383164766492823	1.081816933378284
nifD	iupac	Mixed-IUPAC	site	SJER	10	0.4520313845355556	0.4836055732999999	0.014396178999999999	0.6810971697000001	0.4381079158693398	1.0317809109625133
nifD	iupac	Mixed-IUPAC	state	Arizona	54	0.059522140114465404	0.0398618139	2.2608e-6	0.18859679659999998	0.291096865778873	0.2044753726743332
nifD	iupac	Mixed-IUPAC	state	New Mexico	12	0.09545203685909091	0.09524322164999999	0.0169156903	0.20521324759999993	0.2705429586351814	0.3528165631832428
nifD	iupac	Mixed-IUPAC	state	ND	77	0.19607042019747092	0.21541949144999997	4.9685e-6	0.4651937765000002	0.2960795614546634	0.6622220704264783
nifD	iupac	Mixed-IUPAC	state	OK	112	0.2145888791518018	0.20411253474999996	4.4787e-6	0.5612983154	0.299609388140016	0.7162288220805628
nifD	iupac	Mixed-IUPAC	state	Florida	134	0.250783451816575	0.24274812159999995	0.0040286264	0.7692488151	0.2904898075092182	0.8633123962830153
nifD	iupac	Mixed-IUPAC	state	FL	100	0.2566741763091515	0.24923618539999998	3.5821e-6	0.6790880275	0.2815608935920617	0.9116115985944866
nifD	iupac	Mixed-IUPAC	state	KS	53	0.25896495677460096	0.26257962899999987	0	0.6524064302000002	0.2912960907887165	0.8890093789910624
nifD	iupac	Mixed-IUPAC	state	Georgia	271	0.26062939275234115	0.24576688389999998	4.6367e-6	0.8071808040000001	0.2891360510643574	0.9014074578141378
nifD	iupac	Mixed-IUPAC	state	CO	31	0.26753634710236557	0.27508361420000005	3.4471000000000004e-6	0.5368046768	0.3060944402792382	0.8740320368390305
nifD	iupac	Mixed-IUPAC	state	WY	14	0.27242824865054943	0.282799665	0.0348035976	0.490674628	0.2837011016052512	0.9602650363677928
nifD	iupac	Mixed-IUPAC	state	Fl	12	0.29945117903787877	0.32444281979999995	0.0917169934	0.5028095635000001	0.30430072982891415	0.9840632955636948
nifD	iupac	Mixed-IUPAC	state	P.R	62	0.30275554195282917	0.30397499510000003	0.0040368899	0.7505108582000001	0.32139177852075856	0.9420139598663514
nifD	iupac	Mixed-IUPAC	state	Alaska	128	0.30457775010262056	0.31135573904999997	5.1324e-6	0.6645621076000001	0.3265865848732516	0.9326094953374381
nifD	iupac	Mixed-IUPAC	state	AL	176	0.3067880580644676	0.3032621333499999	9.048751e-4	0.8651524332000001	0.30575559014969467	1.0033767752676817
nifD	iupac	Mixed-IUPAC	state	MA	7	0.31368423183809524	0.32959272210000007	0.0757225969	0.5991989810000001	0.30596473686663395	1.0252300152315466
nifD	iupac	Mixed-IUPAC	state	MI	7	0.31932048195238105	0.3875772707	0.027512478	0.5290618439000002	0.3626360671521129	0.880553565617723
nifD	iupac	Mixed-IUPAC	state	TX	92	0.3203514522231247	0.31600305784999994	4.920012e-4	0.7917176088	0.31189115501244435	1.0271258003784776
nifD	iupac	Mixed-IUPAC	state	VA	40	0.34923315186871795	0.33577696189999995	0.0020801642	0.8433141955000001	0.33541039475725076	1.0412114750393209
nifD	iupac	Mixed-IUPAC	state	TN	22	0.3528874617121212	0.3380398476999999	0.038906516099999996	0.8869334983	0.32753356173592857	1.0774085557578188
nifD	iupac	Mixed-IUPAC	state	MD	7	0.3545681165047619	0.38342633940000004	0.1355820426	0.5694850567	0.3604559654475928	0.9836655527797419
nifD	iupac	Mixed-IUPAC	state	CA	15	0.4218856002838095	0.46270723919999995	0.014396178999999999	0.6937756454	0.3956434670792178	1.0663277303637049
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Bradyrhizobium	253	0.1514306609880794	0.13457555464999998	9.6911e-6	0.4164134073000001	0.2200765520876733	0.6880817586044015
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Neorhizobium	25	0.19235431579666665	0.2205227117	4.0524e-6	0.47785725689999997	0.2795512209846452	0.6880825457286485
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Microvirga	291	0.19473783066400757	0.19258004869999995	4.8487e-6	0.5194058209	0.2194242277110178	0.8874946613483253
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Mesorhizobium	638	0.21531128923920143	0.2216021485	0	0.5999122108999999	0.2349703278720191	0.9163339524149392
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	129	0.2627025013424177	0.30733375385000006	4.5572999999999995e-6	0.5756454552	0.2779136405074334	0.9452666693968594
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Rhizobium	149	0.26434225386767635	0.26971785695	4.4444999999999995e-6	0.5260367392000002	0.25202995531498107	1.0488525204764159
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Burkholderia	28	0.28002147319603177	0.33100116395	0.0086322766	0.46897217750000003	0.286472173560965	0.9774822793964649
nifH	iupac	Mixed-IUPAC	closest_blast_genus	Ensifer	22	0.28976649308961033	0.3023998636	4.9137e-6	0.5183541729	0.26768808559962826	1.0824781104490544
nifH	iupac	Mixed-IUPAC	site	SRER	52	0.040214079816063356	0.03462911715	4.4271e-6	0.10358777880000003	0.2270964248372684	0.17707931705609084
nifH	iupac	Mixed-IUPAC	site	JORN	12	0.0828294184060606	0.04934245185000001	0.006727416400000001	0.27536080389999995	0.20879695059953043	0.39669841043285275
nifH	iupac	Mixed-IUPAC	site	KONA	9	0.08449883472222218	5.3259e-6	0	0.25622926829999987	0.19100339453964105	0.44239441359606413
nifH	iupac	Mixed-IUPAC	site	CPER	15	0.13660108135619048	0.05947112649999999	5.69e-6	0.36347485279999997	0.27953765959374044	0.4886679009716132
nifH	iupac	Mixed-IUPAC	site	KONZ	39	0.17108928474520918	0.1724937064	0.0012958019	0.36887860409999995	0.20820320690244454	0.8217418323694436
nifH	iupac	Mixed-IUPAC	site	OAES	89	0.1739418370107763	0.1783334628	4.0524e-6	0.40621148110000005	0.2514239581036275	0.69182681842549
nifH	iupac	Mixed-IUPAC	site	UKFS	7	0.17684331984761903	0.20039650290000002	0.013240214	0.3571091411999999	0.20824236471990296	0.8492187460773541
nifH	iupac	Mixed-IUPAC	site	LENO	32	0.17753448838205646	0.19667431105	4.3561000000000005e-6	0.36551354099999983	0.20807460295	0.8532251695547761
nifH	iupac	Mixed-IUPAC	site	TOOL	73	0.18132469693934553	0.2159872443	3.5235e-6	0.3749361611	0.23542630515165355	0.7701972675591301
nifH	iupac	Mixed-IUPAC	site	OSBS	127	0.18469943596445443	0.18231995360000003	6.8837e-6	0.5138530973	0.21411312823473624	0.8626254610691828
nifH	iupac	Mixed-IUPAC	site	UNDE	7	0.18769731569523807	0.19321380589999998	0.0052205006000000005	0.33471479869999987	0.21042193580421759	0.892004509785885
nifH	iupac	Mixed-IUPAC	site	GUAN	15	0.19490102983809524	0.18929012539999995	0.0277162027	0.3547450495	0.2154509185679229	0.9046191640006904
nifH	iupac	Mixed-IUPAC	site	DSNY	136	0.1997018990271133	0.20671671214999998	0.0051683911	0.5476374902	0.22240236998558247	0.8979306247503533
nifH	iupac	Mixed-IUPAC	site	NOGP	20	0.20577233462684213	0.19469655195	0.003722024	0.3893040373999999	0.2679540500855138	0.7679388856454036
nifH	iupac	Mixed-IUPAC	site	RMNP	12	0.20652449697575756	0.21452303634999997	2.1188e-6	0.31837513189999994	0.2223944707325579	0.9286404302025796
nifH	iupac	Mixed-IUPAC	site	JERC	308	0.20691715343745717	0.21410176595	4.5685e-6	0.4943508615000001	0.22647627521531438	0.9136372153804541
nifH	iupac	Mixed-IUPAC	site	DEJU	55	0.20772498219474747	0.21460395790000003	0.006075425999999999	0.4237931234999998	0.2267727969202819	0.9160048516214652
nifH	iupac	Mixed-IUPAC	site	BONA	8	0.20917134346071428	0.1704407431	0.05490757710000001	0.3582208242	0.22538597005017974	0.9280584031656653
nifH	iupac	Mixed-IUPAC	site	ORNL	27	0.21275700077037035	0.20616597950000004	0.0278429642	0.4755556472	0.22245083134206922	0.956422592295048
nifH	iupac	Mixed-IUPAC	site	WOOD	33	0.21976652174772726	0.24738062004999997	0.0024806054	0.43744813829999996	0.24540877766295363	0.8955120670115408
nifH	iupac	Mixed-IUPAC	site	DELA	78	0.23058968702510824	0.2370476543	3.6385999999999998e-6	0.47917899219999993	0.23438263483154204	0.9838172831824341
nifH	iupac	Mixed-IUPAC	site	DCFS	20	0.23400197316578947	0.26433253719999994	4.5572999999999995e-6	0.4415287233	0.2494453510182147	0.9380891333938008
nifH	iupac	Mixed-IUPAC	site	CLBJ	86	0.23857893197638852	0.242000018	4.9137e-6	0.5030145667999999	0.23723354042045455	1.0056711692349636
nifH	iupac	Mixed-IUPAC	site	TALL	110	0.23881340799653047	0.2538979903	0.0014990887	0.49431621820000005	0.24342117634563543	0.9810707991051594
nifH	iupac	Mixed-IUPAC	site	YELL	11	0.24135770941454546	0.25504548149999995	0.0740495484	0.37795352150000006	0.235692653025826	1.0240357784427787
nifH	iupac	Mixed-IUPAC	site	HEAL	19	0.24635412358011693	0.2746900015999999	0.0267528009	0.41041123249999995	0.2535108145601746	0.9717696817294597
nifH	iupac	Mixed-IUPAC	site	LAJA	66	0.25505671339911423	0.2691586911	4.9081e-6	0.4743094399999999	0.25665936360456815	0.9937557306191911
nifH	iupac	Mixed-IUPAC	site	HARV	6	0.26251728774	0.262771834	0.1224458028	0.39095299429999997	0.2467611041913838	1.0638519737551342
nifH	iupac	Mixed-IUPAC	site	SCBI	20	0.2698037819436842	0.2856528434500001	0.0102138465	0.5112551825	0.2539941187496376	1.0622442097158564
nifH	iupac	Mixed-IUPAC	site	SJER	6	0.28501099518666667	0.29358929819999996	0.0636247389	0.4699660784	0.2703211227401654	1.0543423033227828
nifH	iupac	Mixed-IUPAC	site	BLAN	10	0.3221830201377777	0.3485668891	0.0066326295	0.5001224126999999	0.30218372741229055	1.0661825601820072
nifH	iupac	Mixed-IUPAC	state	Arizona	52	0.040214079816063356	0.03462911715	4.4271e-6	0.10358777880000003	0.2270964248372684	0.17707931705609084
nifH	iupac	Mixed-IUPAC	state	New Mexico	12	0.0828294184060606	0.04934245185000001	0.006727416400000001	0.27536080389999995	0.20879695059953043	0.39669841043285275
nifH	iupac	Mixed-IUPAC	state	FL	111	0.173288006789353	0.167472793	6.8837e-6	0.4933798848	0.20896608954454285	0.8292637679493697
nifH	iupac	Mixed-IUPAC	state	KS	54	0.17343118477861633	0.17844610779999998	0	0.3890427763999999	0.20604242152821206	0.8417256188909114
nifH	iupac	Mixed-IUPAC	state	OK	89	0.1739418370107763	0.1783334628	4.0524e-6	0.40621148110000005	0.2514239581036275	0.69182681842549
nifH	iupac	Mixed-IUPAC	state	MI	7	0.18769731569523807	0.19321380589999998	0.0052205006000000005	0.33471479869999987	0.21042193580421759	0.892004509785885
nifH	iupac	Mixed-IUPAC	state	Florida	133	0.20092458410751884	0.20747531460000002	0.0051683911	0.5476374902	0.2226811166546138	0.9022973619229686
nifH	iupac	Mixed-IUPAC	state	Georgia	301	0.20427455493688143	0.21234900334999995	4.5685e-6	0.4915584500000001	0.2252622727904305	0.9068298583976612
nifH	iupac	Mixed-IUPAC	state	TN	28	0.21512479981031746	0.20760766074999998	0.0278429642	0.4755556472	0.22348811587697254	0.9625782514929833
nifH	iupac	Mixed-IUPAC	state	Alaska	139	0.21651170943017414	0.2295506503	3.5235e-6	0.4577255301999999	0.23316049408735842	0.9285951733703803
nifH	iupac	Mixed-IUPAC	state	ND	73	0.2210914220166666	0.24891446479999996	4.5572999999999995e-6	0.4527750452	0.25371549796574877	0.8714147294483116
nifH	iupac	Mixed-IUPAC	state	CO	31	0.22921624795655912	0.25623798729999997	2.1188e-6	0.39251189929999997	0.25841000910418055	0.8870254242518459
nifH	iupac	Mixed-IUPAC	state	AL	220	0.23372419168824002	0.2391799148	3.6385999999999998e-6	0.49431621820000005	0.23492620078438964	0.9948834608820291
nifH	iupac	Mixed-IUPAC	state	TX	86	0.23857893197638852	0.242000018	4.9137e-6	0.5030145667999999	0.23723354042045455	1.0056711692349636
