gene	tree_set_label	label_type	group	n_tips	mean_within_tree_distance	mean_between_group_distance	within_between_ratio	interpretation
noeB	Mixed-IUPAC	site	NOGP	17	0.01561950884117647	0.014821615497549016	1.0538330888262077	not closer than background
nifD	Mixed-IUPAC	site	ORNL	21	0.3378555846638095	0.3204588512262878	1.0542869493881983	not closer than background
nolG	Mixed-IUPAC	state	CO	19	0.008694914265497075	0.008247086213433582	1.0543013666249823	not closer than background
nifH	Mixed-IUPAC	site	SJER	6	0.28501099518666667	0.2703211227401654	1.0543423033227828	not closer than background
nolF	Mixed-IUPAC	state	ND	68	0.008130309013169449	0.0076835872228827725	1.0581397434984896	not closer than background
noeB	Mixed-IUPAC	state	ND	59	0.014876028743074228	0.014055203769435025	1.0584000763777044	not closer than background
noeB	Strict single-dominant	site	OAES	36	0.017181975294126985	0.016205837967939816	1.0602336841895046	not closer than background
noeB	Strict single-dominant	state	OK	36	0.017181975294126985	0.016205837967939816	1.0602336841895046	not closer than background
nifH	Mixed-IUPAC	site	SCBI	20	0.2698037819436842	0.2539941187496376	1.0622442097158564	not closer than background
nifH	Mixed-IUPAC	site	HARV	6	0.26251728774	0.2467611041913838	1.0638519737551342	not closer than background
nifH	Mixed-IUPAC	state	MA	6	0.26251728774	0.2467611041913838	1.0638519737551342	not closer than background
nifH	Mixed-IUPAC	site	BLAN	10	0.3221830201377777	0.30218372741229055	1.0661825601820072	not closer than background
nifD	Mixed-IUPAC	state	CA	15	0.4218856002838095	0.3956434670792178	1.0663277303637049	not closer than background
nifK	Mixed-IUPAC	state	AL	101	0.37936911274158414	0.3554347199355633	1.0673383647223882	not closer than background
nolG	Strict single-dominant	state	CO	11	0.009575586199999998	0.008952949793636365	1.069545392380754	not closer than background
nifK	Mixed-IUPAC	site	DEJU	20	0.37489902511473683	0.34901997114995154	1.0741477740643866	not closer than background
nifD	Mixed-IUPAC	state	TN	22	0.3528874617121212	0.32753356173592857	1.0774085557578188	not closer than background
nifJ	Mixed-IUPAC	state	VA	9	0.08326784001111111	0.07707639462700419	1.0803286844703774	not closer than background
nifJ	Mixed-IUPAC	site	DSNY	12	0.0780272637969697	0.07216520212145904	1.0812311405384052	not closer than background
nifH	Mixed-IUPAC	state	VA	34	0.28511105908003564	0.26363962605717306	1.0814423588137174	not closer than background
nifD	Mixed-IUPAC	site	SCBI	24	0.3659964932800725	0.3383164766492823	1.081816933378284	not closer than background
nifD	Mixed-IUPAC	site	GUAN	10	0.34889181596	0.32249539868722155	1.0818505236981057	not closer than background
nifH	Mixed-IUPAC	closest_blast_genus	Ensifer	22	0.28976649308961033	0.26768808559962826	1.0824781104490544	not closer than background
nifH	Strict single-dominant	site	DELA	14	0.2808039534054945	0.25817893839856376	1.0876330778462007	not closer than background
nodL	Strict single-dominant	state	FL	7	0.07493318526666667	0.06878281636042378	1.0894172299374134	not closer than background
noeB	Mixed-IUPAC	site	OAES	37	0.016203984058858856	0.01486202945798745	1.0902941690880708	not closer than background
noeB	Mixed-IUPAC	state	OK	37	0.016203984058858856	0.01486202945798745	1.0902941690880708	not closer than background
nifJ	Mixed-IUPAC	state	Florida	11	0.08167298462181817	0.0747713144092646	1.092303716566716	not closer than background
noeA	Strict single-dominant	state	ND	65	0.005684634089903846	0.005197367016334135	1.0937526774688686	not closer than background
nolG	Mixed-IUPAC	site	CLBJ	5	0.00927915004	0.008439404329732142	1.0995029598604988	not closer than background
nolG	Mixed-IUPAC	state	TX	5	0.00927915004	0.008439404329732142	1.0995029598604988	not closer than background
nifJ	Mixed-IUPAC	site	OAES	5	0.07518603356	0.068321390487625	1.100475751786966	not closer than background
nifJ	Mixed-IUPAC	state	OK	5	0.07518603356	0.068321390487625	1.100475751786966	not closer than background
nifK	Mixed-IUPAC	closest_blast_genus	Rhizobium	140	0.46684840427655705	0.4234358414485213	1.1025245351917465	not closer than background
nifH	Strict single-dominant	closest_blast_genus	Rhizobium	34	0.3097155375493761	0.2806888198148642	1.1034124471137012	not closer than background
noeA	Mixed-IUPAC	site	DCFS	20	0.004445446357368421	0.004023116626142857	1.104975761448524	not closer than background
nifK	Strict single-dominant	site	ORNL	10	0.4317136438933333	0.3903999852307865	1.1058239247578967	not closer than background
nifK	Strict single-dominant	state	TN	10	0.4317136438933333	0.3903999852307865	1.1058239247578967	not closer than background
noeA	Mixed-IUPAC	site	NOGP	19	0.004493955409356726	0.00403648796743421	1.1133330374358341	not closer than background
nolF	Strict single-dominant	state	ND	67	0.008464988251379466	0.007510550805080977	1.1270795539593181	not closer than background
nifJ	Strict single-dominant	state	AL	25	0.10444902922266666	0.09232097234	1.1313683833181631	not closer than background
noeB	Strict single-dominant	site	NOGP	15	0.019753425230476192	0.017366634696182347	1.1374354085318858	not closer than background
noeA	Strict single-dominant	site	NOGP	18	0.006283393189542484	0.005521381462095238	1.1380110634772336	not closer than background
nifJ	Strict single-dominant	site	HARV	5	0.09983979874	0.08730473081204544	1.1435783354620355	not closer than background
nifJ	Strict single-dominant	state	MA	5	0.09983979874	0.08730473081204544	1.1435783354620355	not closer than background
nifJ	Mixed-IUPAC	site	MLBS	6	0.10402427353333332	0.09086608370982235	1.144808593991254	not closer than background
noeA	Strict single-dominant	site	DCFS	20	0.006464690597368421	0.005645133862803468	1.1451793269182013	not closer than background
noeB	Strict single-dominant	state	ND	50	0.018650551431673466	0.01622310564014634	1.1496289209582702	not closer than background
