tree_set	tree_set_label	gene	sample_id	tip_label	closest_genus_report	nearest_neighbor_tip	nearest_neighbor_sample_id	nearest_neighbor_closest_genus	nearest_neighbor_distance	nearest_neighbor_same_blast_genus	nearest_neighbor_tie_count	sample_type	site	state	host_genus	host_tribe	native_status
strict	Strict single-dominant	nifH	JERC-DEFL-31-5-No	JERC-DEFL-31-5-No|nifH|consensus50|strict_single_dominant	Rhizobium	JERC-CHNI-60-3-No|nifH|consensus50|strict_single_dominant	JERC-CHNI-60-3-No	Rhizobium	0.0162565342	TRUE	1	nodule	JERC	Georgia	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	CLBJ-20-1-No	CLBJ-20-1-No|nifH|consensus50|strict_single_dominant	Neorhizobium	TALL-44-1-No|nifH|consensus50|strict_single_dominant	TALL-44-1-No	Mesorhizobium	0.0630319428	FALSE	1	nodule	CLBJ	TX	Clitoria	Phaseoleae	yes
strict	Strict single-dominant	nifH	TALL-12-2-No	TALL-12-2-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	TALL-25-2-No|nifH|consensus50|strict_single_dominant	TALL-25-2-No	Mesorhizobium	0.027593138500000003	TRUE	1	nodule	TALL	AL	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	TALL-25-2-No	TALL-25-2-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	TALL-12-2-No|nifH|consensus50|strict_single_dominant	TALL-12-2-No	Mesorhizobium	0.027593138500000003	TRUE	1	nodule	TALL	AL	Chamaecrista	Cassieae	yes
strict	Strict single-dominant	nifH	TALL-75-2-No	TALL-75-2-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	TALL-25-2-No|nifH|consensus50|strict_single_dominant	TALL-25-2-No	Mesorhizobium	0.0311866937	TRUE	1	nodule	TALL	AL	Lespedeza	Desmodieae	yes
strict	Strict single-dominant	nifH	DSNY-66-1-No	DSNY-66-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	TALL-44-1-No|nifH|consensus50|strict_single_dominant	TALL-44-1-No	Mesorhizobium	0.0393886263	TRUE	1	nodule	DSNY	Florida	Chamaecrista	Cassieae	yes
strict	Strict single-dominant	nifH	TALL-66-2-No	TALL-66-2-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	DSNY-66-1-No|nifH|consensus50|strict_single_dominant	DSNY-66-1-No	Mesorhizobium	0.0572981808	TRUE	1	nodule	TALL	AL	Lespedeza	Desmodieae	yes
strict	Strict single-dominant	nifH	TALL-78-2-No	TALL-78-2-No|nifH|consensus50|strict_single_dominant	Rhizobium	DSNY-66-1-No|nifH|consensus50|strict_single_dominant	DSNY-66-1-No	Mesorhizobium	0.0433156819	FALSE	1	rhizosphere	TALL	AL	Chamaecrista	Cassieae	yes
strict	Strict single-dominant	nifH	TALL-44-1-No	TALL-44-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-99-3-No|nifH|consensus50|strict_single_dominant	JERC-99-3-No	Mesorhizobium	0.0122319314	TRUE	1	nodule	TALL	AL	Lespedeza	Desmodieae	yes
strict	Strict single-dominant	nifH	JERC-99-3-No	JERC-99-3-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	TALL-44-1-No|nifH|consensus50|strict_single_dominant	TALL-44-1-No	Mesorhizobium	0.0122319314	TRUE	1	nodule	JERC	Georgia	Lespedeza	Desmodieae	no
strict	Strict single-dominant	nifH	DSNY-CRMA-35-1-No	DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	TALL-50-1-No|nifH|consensus50|strict_single_dominant	TALL-50-1-No	Burkholderia	0.0348178226	FALSE	1	nodule	DSNY	Florida	Crotalaria	Crotalarieae	yes
strict	Strict single-dominant	nifH	JERC-48-3-No	JERC-48-3-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	JERC-DEFL-75-3-No	Bradyrhizobium	0.038220478100000004	TRUE	1	nodule	JERC	Georgia	Crotalaria	Crotalarieae	yes
strict	Strict single-dominant	nifH	JERC-DEFL-75-3-No	JERC-DEFL-75-3-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	TALL-50-1-No|nifH|consensus50|strict_single_dominant	TALL-50-1-No	Burkholderia	0.0351933022	FALSE	1	nodule	JERC	Georgia	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	TALL-50-1-No	TALL-50-1-No|nifH|consensus50|strict_single_dominant	Burkholderia	DSNY-CRMA-35-1-No|nifH|consensus50|strict_single_dominant	DSNY-CRMA-35-1-No	Bradyrhizobium	0.0348178226	FALSE	1	nodule	TALL	AL	Galactia	Diocleae	yes
strict	Strict single-dominant	nifH	JERC-170-No	JERC-170-No|nifH|consensus50|strict_single_dominant	Microvirga	TALL-50-1-No|nifH|consensus50|strict_single_dominant	TALL-50-1-No	Burkholderia	0.035347255499999994	FALSE	1	nodule	JERC	Georgia	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	JERC-135-3-No	JERC-135-3-No|nifH|consensus50|strict_single_dominant	Sinorhizobium	TALL-20-1-No|nifH|consensus50|strict_single_dominant	TALL-20-1-No	Mesorhizobium	0.0208848957	FALSE	1	nodule	JERC	Georgia	Stylosanthes	Dalbergieae	yes
strict	Strict single-dominant	nifH	JERC-148-Ro	JERC-148-Ro|nifH|consensus50|strict_single_dominant	Sinorhizobium	TALL-18-1-No|nifH|consensus50|strict_single_dominant	TALL-18-1-No	Sinorhizobium	0.0102471116	TRUE	1	root	JERC	Unknown	Lespedeza	Desmodieae	yes
strict	Strict single-dominant	nifH	TALL-18-1-No	TALL-18-1-No|nifH|consensus50|strict_single_dominant	Sinorhizobium	JERC-148-Ro|nifH|consensus50|strict_single_dominant	JERC-148-Ro	Sinorhizobium	0.0102471116	TRUE	1	nodule	TALL	AL	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	OSBS-TEVI-61-4-No	OSBS-TEVI-61-4-No|nifH|consensus50|strict_single_dominant	Sinorhizobium	JERC-135-3-No|nifH|consensus50|strict_single_dominant	JERC-135-3-No	Sinorhizobium	0.04353724069999999	TRUE	1	nodule	OSBS	FL	Tephrosia	Millettieae	yes
strict	Strict single-dominant	nifH	TALL-20-1-No	TALL-20-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-135-3-No|nifH|consensus50|strict_single_dominant	JERC-135-3-No	Sinorhizobium	0.0208848957	FALSE	1	nodule	TALL	AL	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	JERC-50-5-No	JERC-50-5-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	JERC-172-2-Ro	Mesorhizobium	0.023490781699999998	FALSE	1	nodule	JERC	Georgia	Chamaecrista	Cassieae	yes
strict	Strict single-dominant	nifH	JERC-172-2-Ro	JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-50-5-No|nifH|consensus50|strict_single_dominant	JERC-50-5-No	Bradyrhizobium	0.023490781699999998	FALSE	1	root	JERC	Georgia	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	JERC-39-5-No	JERC-39-5-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	JERC-172-2-Ro|nifH|consensus50|strict_single_dominant	JERC-172-2-Ro	Mesorhizobium	0.0363479553	FALSE	1	nodule	JERC	Georgia	Stylosanthes	Dalbergieae	yes
strict	Strict single-dominant	nifH	OSBS-70-3-No	OSBS-70-3-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-180-5-No|nifH|consensus50|strict_single_dominant	JERC-180-5-No	Mesorhizobium	0.0459853625	TRUE	1	nodule	OSBS	FL	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	JERC-180-5-No	JERC-180-5-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	OSBS-58-1-No|nifH|consensus50|strict_single_dominant	OSBS-58-1-No	Mesorhizobium	0.0250295783	TRUE	1	nodule	JERC	Georgia	Zornia	Dalbergieae	yes
strict	Strict single-dominant	nifH	JERC-126-4-No	JERC-126-4-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	OSBS-58-1-No|nifH|consensus50|strict_single_dominant	OSBS-58-1-No	Mesorhizobium	0.0194482797	TRUE	1	nodule	JERC	Georgia	Lespedeza	Desmodieae	yes
strict	Strict single-dominant	nifH	TALL-76-3-No	TALL-76-3-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-126-4-No|nifH|consensus50|strict_single_dominant	JERC-126-4-No	Mesorhizobium	0.036596380799999995	TRUE	1	nodule	TALL	AL	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	JERC-127-2-No	JERC-127-2-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	OSBS-58-1-No|nifH|consensus50|strict_single_dominant	OSBS-58-1-No	Mesorhizobium	0.0256216571	TRUE	1	nodule	JERC	Georgia	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	OSBS-58-1-No	OSBS-58-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-126-4-No|nifH|consensus50|strict_single_dominant	JERC-126-4-No	Mesorhizobium	0.0194482797	TRUE	1	nodule	OSBS	FL	Stylosanthes	Dalbergieae	yes
strict	Strict single-dominant	nifH	JERC-49-2-Ro	JERC-49-2-Ro|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-180-5-No|nifH|consensus50|strict_single_dominant	JERC-180-5-No	Mesorhizobium	0.034379875	TRUE	1	root	JERC	Georgia	Stylosanthes	Dalbergieae	yes
strict	Strict single-dominant	nifH	JERC-96-2-No	JERC-96-2-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-99-3-No|nifH|consensus50|strict_single_dominant	JERC-99-3-No	Mesorhizobium	0.0242351283	TRUE	1	nodule	JERC	Georgia	Crotalaria	Crotalarieae	no
strict	Strict single-dominant	nifH	CLBJ-43-2-No	CLBJ-43-2-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	JERC-96-2-No|nifH|consensus50|strict_single_dominant	JERC-96-2-No	Mesorhizobium	0.0550045802	FALSE	1	nodule	CLBJ	TX	Indigofera	Indigofereae	yes
strict	Strict single-dominant	nifH	CLBJ-30-1-No	CLBJ-30-1-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-32-1-Rh	Bradyrhizobium	0.023031904600000003	TRUE	1	nodule	CLBJ	TX	Chamaecrista	Cassieae	yes
strict	Strict single-dominant	nifH	DELA-21-1-No	DELA-21-1-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-32-1-Rh	Bradyrhizobium	0.0214941225	TRUE	1	nodule	DELA	AL	Lespedeza	Desmodieae	no
strict	Strict single-dominant	nifH	CLBJ-32-1-Rh	CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	Bradyrhizobium	DELA-21-1-No|nifH|consensus50|strict_single_dominant	DELA-21-1-No	Bradyrhizobium	0.0214941225	TRUE	1	rhizosphere	CLBJ	TX	Crotalaria	Crotalarieae	yes
strict	Strict single-dominant	nifH	LENO-8-3-No	LENO-8-3-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	CLBJ-32-1-Rh|nifH|consensus50|strict_single_dominant	CLBJ-32-1-Rh	Bradyrhizobium	0.0243509641	TRUE	1	nodule	LENO	AL	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	CLBJ-39-1-No	CLBJ-39-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	LENO-6-1-No|nifH|consensus50|strict_single_dominant	LENO-6-1-No	Mesorhizobium	0.0406324148	TRUE	1	nodule	CLBJ	TX	Chamaecrista	Cassieae	yes
strict	Strict single-dominant	nifH	CLBJ-34-1-No	CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-157-2-No|nifH|consensus50|strict_single_dominant	JERC-157-2-No	Bradyrhizobium	0.027081119799999998	FALSE	1	nodule	CLBJ	TX	Lespedeza	Desmodieae	yes
