gene	gene_group	metadata_category	metadata_value	total_samples	good_samples	percent_good
nifD	nif	sample_type	No	952	543	57.03781512605042
nifD	nif	sample_type	Rh	989	484	48.93832153690597
nifD	nif	sample_type	Ro	964	470	48.7551867219917
nifH	nif	sample_type	No	952	564	59.2436974789916
nifH	nif	sample_type	Rh	989	506	51.16279069767442
nifH	nif	sample_type	Ro	964	502	52.0746887966805
nifJ	nif	sample_type	No	952	158	16.596638655462186
nifJ	nif	sample_type	Rh	989	94	9.504550050556118
nifJ	nif	sample_type	Ro	964	74	7.676348547717843
nifK	nif	sample_type	No	952	421	44.22268907563025
nifK	nif	sample_type	Rh	989	343	34.68149646107179
nifK	nif	sample_type	Ro	964	324	33.60995850622407
nodL	canonical nod	sample_type	No	952	97	10.1890756302521
nodL	canonical nod	sample_type	Rh	989	77	7.785642062689585
nodL	canonical nod	sample_type	Ro	964	65	6.742738589211618
nodX	canonical nod	sample_type	No	952	53	5.567226890756302
nodX	canonical nod	sample_type	Rh	989	45	4.550050556117291
nodX	canonical nod	sample_type	Ro	964	39	4.045643153526971
noeA	accessory nodulation/symbiosis-related	sample_type	No	952	67	7.03781512605042
noeA	accessory nodulation/symbiosis-related	sample_type	Rh	989	63	6.370070778564206
noeA	accessory nodulation/symbiosis-related	sample_type	Ro	964	67	6.950207468879668
noeB	accessory nodulation/symbiosis-related	sample_type	No	952	54	5.6722689075630255
noeB	accessory nodulation/symbiosis-related	sample_type	Rh	989	39	3.9433771486349847
noeB	accessory nodulation/symbiosis-related	sample_type	Ro	964	56	5.809128630705394
nolF	accessory nodulation/symbiosis-related	sample_type	No	952	70	7.352941176470588
nolF	accessory nodulation/symbiosis-related	sample_type	Rh	989	64	6.47118301314459
nolF	accessory nodulation/symbiosis-related	sample_type	Ro	964	75	7.780082987551867
nolG	accessory nodulation/symbiosis-related	sample_type	No	952	74	7.773109243697479
nolG	accessory nodulation/symbiosis-related	sample_type	Rh	989	82	8.291203235591507
nolG	accessory nodulation/symbiosis-related	sample_type	Ro	964	74	7.676348547717843
nifD	nif	metadata_type	Unknown	30	18	60
nifD	nif	metadata_type	nodule	941	539	57.279489904357064
nifD	nif	metadata_type	rhizosphere	980	476	48.57142857142857
nifD	nif	metadata_type	root	954	464	48.63731656184486
nifH	nif	metadata_type	Unknown	30	15	50
nifH	nif	metadata_type	nodule	941	558	59.29861849096706
nifH	nif	metadata_type	rhizosphere	980	501	51.12244897959184
nifH	nif	metadata_type	root	954	498	52.20125786163522
nifJ	nif	metadata_type	Unknown	30	0	0
nifJ	nif	metadata_type	nodule	941	158	16.790648246546226
nifJ	nif	metadata_type	rhizosphere	980	94	9.591836734693878
nifJ	nif	metadata_type	root	954	74	7.756813417190775
nifK	nif	metadata_type	Unknown	30	11	36.666666666666664
nifK	nif	metadata_type	nodule	941	417	44.314558979808716
nifK	nif	metadata_type	rhizosphere	980	341	34.795918367346935
nifK	nif	metadata_type	root	954	319	33.43815513626834
nodL	canonical nod	metadata_type	Unknown	30	6	20
nodL	canonical nod	metadata_type	nodule	941	95	10.095642933049946
nodL	canonical nod	metadata_type	rhizosphere	980	75	7.653061224489796
nodL	canonical nod	metadata_type	root	954	63	6.60377358490566
nodX	canonical nod	metadata_type	Unknown	30	4	13.333333333333334
nodX	canonical nod	metadata_type	nodule	941	52	5.526036131774708
nodX	canonical nod	metadata_type	rhizosphere	980	44	4.489795918367347
nodX	canonical nod	metadata_type	root	954	37	3.8784067085953877
noeA	accessory nodulation/symbiosis-related	metadata_type	Unknown	30	6	20
noeA	accessory nodulation/symbiosis-related	metadata_type	nodule	941	65	6.9075451647183845
noeA	accessory nodulation/symbiosis-related	metadata_type	rhizosphere	980	61	6.224489795918367
noeA	accessory nodulation/symbiosis-related	metadata_type	root	954	65	6.813417190775682
noeB	accessory nodulation/symbiosis-related	metadata_type	Unknown	30	6	20
noeB	accessory nodulation/symbiosis-related	metadata_type	nodule	941	52	5.526036131774708
noeB	accessory nodulation/symbiosis-related	metadata_type	rhizosphere	980	37	3.7755102040816326
noeB	accessory nodulation/symbiosis-related	metadata_type	root	954	54	5.660377358490566
nolF	accessory nodulation/symbiosis-related	metadata_type	Unknown	30	6	20
nolF	accessory nodulation/symbiosis-related	metadata_type	nodule	941	68	7.226354941551541
nolF	accessory nodulation/symbiosis-related	metadata_type	rhizosphere	980	62	6.326530612244898
nolF	accessory nodulation/symbiosis-related	metadata_type	root	954	73	7.651991614255765
nolG	accessory nodulation/symbiosis-related	metadata_type	Unknown	30	6	20
nolG	accessory nodulation/symbiosis-related	metadata_type	nodule	941	72	7.651434643995749
nolG	accessory nodulation/symbiosis-related	metadata_type	rhizosphere	980	80	8.16326530612245
nolG	accessory nodulation/symbiosis-related	metadata_type	root	954	72	7.547169811320755
nifD	nif	host_family	Betulaceae	322	70	21.73913043478261
nifD	nif	host_family	Elaeagnaceae	76	23	30.263157894736842
nifD	nif	host_family	Fabaceae	2183	1282	58.72652313330279
nifD	nif	host_family	Myricaceae	140	31	22.142857142857142
nifD	nif	host_family	Rhamnaceae	71	27	38.028169014084504
nifD	nif	host_family	Rosaceae	83	46	55.42168674698795
nifD	nif	host_family	Unknown	32	18	56.25
nifH	nif	host_family	Betulaceae	322	74	22.981366459627328
nifH	nif	host_family	Elaeagnaceae	76	22	28.94736842105263
nifH	nif	host_family	Fabaceae	2183	1353	61.97892808062299
nifH	nif	host_family	Myricaceae	140	38	27.142857142857142
nifH	nif	host_family	Rhamnaceae	71	22	30.985915492957748
nifH	nif	host_family	Rosaceae	83	48	57.83132530120482
nifH	nif	host_family	Unknown	32	15	46.875
nifJ	nif	host_family	Betulaceae	322	171	53.1055900621118
nifJ	nif	host_family	Elaeagnaceae	76	31	40.78947368421053
nifJ	nif	host_family	Fabaceae	2183	62	2.8401282638570775
nifJ	nif	host_family	Myricaceae	140	48	34.285714285714285
nifJ	nif	host_family	Rhamnaceae	71	12	16.901408450704224
nifJ	nif	host_family	Rosaceae	83	2	2.4096385542168677
nifJ	nif	host_family	Unknown	32	2	6.25
nifK	nif	host_family	Betulaceae	322	25	7.763975155279503
nifK	nif	host_family	Elaeagnaceae	76	22	28.94736842105263
nifK	nif	host_family	Fabaceae	2183	945	43.28905176362804
nifK	nif	host_family	Myricaceae	140	19	13.571428571428571
nifK	nif	host_family	Rhamnaceae	71	23	32.394366197183096
nifK	nif	host_family	Rosaceae	83	43	51.80722891566265
nifK	nif	host_family	Unknown	32	11	34.375
nodL	canonical nod	host_family	Betulaceae	322	6	1.8633540372670807
nodL	canonical nod	host_family	Elaeagnaceae	76	6	7.894736842105263
nodL	canonical nod	host_family	Fabaceae	2183	213	9.757214841960606
nodL	canonical nod	host_family	Myricaceae	140	1	0.7142857142857143
nodL	canonical nod	host_family	Rhamnaceae	71	3	4.225352112676056
nodL	canonical nod	host_family	Rosaceae	83	4	4.819277108433735
nodL	canonical nod	host_family	Unknown	32	6	18.75
nodX	canonical nod	host_family	Betulaceae	322	11	3.4161490683229814
nodX	canonical nod	host_family	Elaeagnaceae	76	5	6.578947368421052
nodX	canonical nod	host_family	Fabaceae	2183	113	5.176362803481448
nodX	canonical nod	host_family	Myricaceae	140	0	0
nodX	canonical nod	host_family	Rhamnaceae	71	0	0
nodX	canonical nod	host_family	Rosaceae	83	4	4.819277108433735
nodX	canonical nod	host_family	Unknown	32	4	12.5
noeA	accessory nodulation/symbiosis-related	host_family	Betulaceae	322	3	0.9316770186335404
noeA	accessory nodulation/symbiosis-related	host_family	Elaeagnaceae	76	6	7.894736842105263
noeA	accessory nodulation/symbiosis-related	host_family	Fabaceae	2183	172	7.87906550618415
noeA	accessory nodulation/symbiosis-related	host_family	Myricaceae	140	3	2.142857142857143
noeA	accessory nodulation/symbiosis-related	host_family	Rhamnaceae	71	3	4.225352112676056
noeA	accessory nodulation/symbiosis-related	host_family	Rosaceae	83	4	4.819277108433735
noeA	accessory nodulation/symbiosis-related	host_family	Unknown	32	6	18.75
noeB	accessory nodulation/symbiosis-related	host_family	Betulaceae	322	2	0.6211180124223602
noeB	accessory nodulation/symbiosis-related	host_family	Elaeagnaceae	76	5	6.578947368421052
noeB	accessory nodulation/symbiosis-related	host_family	Fabaceae	2183	134	6.138341731562071
noeB	accessory nodulation/symbiosis-related	host_family	Myricaceae	140	1	0.7142857142857143
noeB	accessory nodulation/symbiosis-related	host_family	Rhamnaceae	71	0	0
noeB	accessory nodulation/symbiosis-related	host_family	Rosaceae	83	1	1.2048192771084338
noeB	accessory nodulation/symbiosis-related	host_family	Unknown	32	6	18.75
