sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
DCFS-5-1-No	nodL.fa	612	559	91.3399	6036.5768	7326	53	8.6601	2	0.4021	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-6-1-Ro	nodL.fa	612	553	90.3595	8.7451	8	59	9.6405	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-7-1-No	nodL.fa	612	552	90.1961	13.5131	5	60	9.8039	2	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-7-1-Rh	nodL.fa	612	551	90.0327	14.7876	2	61	9.9673	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-6-1-No	nodL.fa	612	559	91.3399	6204.2549	7504	53	8.6601	7	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-8-1-Rh	nodL.fa	612	553	90.3595	157.5000	112	59	9.6405	0	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-8-1-Ro	nodL.fa	612	553	90.3595	12.9526	13	59	9.6405	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-29-1-No	nodL.fa	612	553	90.3595	7.4395	7	59	9.6405	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-58-Rh	nodL.fa	612	490	80.0654	5.6552	1	122	19.9346	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-59-No	nodL.fa	612	553	90.3595	15.8350	17	59	9.6405	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-63-Rh	nodL.fa	612	552	90.1961	15.8235	1	60	9.8039	0	0.0429	20	10	5	0.2000	20	10	pass_single_dominant
DELA-26-3-Ro	nodL.fa	612	553	90.3595	19.1340	17	59	9.6405	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DELA-32-1-No	nodL.fa	612	553	90.3595	6.4886	6	59	9.6405	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
DELA-6-3-No	nodL.fa	612	492	80.3922	24.5376	2	120	19.6078	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-13-1-Rh	nodL.fa	612	553	90.3595	6.5997	5	59	9.6405	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-14-1-Rh	nodL.fa	612	553	90.3595	10.7680	12	59	9.6405	0	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-15-1-Ro	nodL.fa	612	553	90.3595	12.8905	12	59	9.6405	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-5-1-Rh	nodL.fa	612	553	90.3595	8.3415	9	59	9.6405	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-91-1-Rh	nodL.fa	612	547	89.3791	7.0833	3	65	10.6209	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
HEAL-2-1-Rh	nodL.fa	612	543	88.7255	18.7794	2	69	11.2745	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
HEAL-5-2-Rh	nodL.fa	612	512	83.6601	6.0768	1	100	16.3399	0	0.0161	20	10	5	0.2000	20	10	pass_single_dominant
HEAL-7-1-Ro	nodL.fa	612	553	90.3595	7.1095	6	59	9.6405	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-106-1-No	nodL.fa	612	416	67.9739	107.6225	2	196	32.0261	1	0.5000	20	10	5	0.2000	20	10	fail_high_N
JERC-11-1-No	nodL.fa	612	553	90.3595	9.6536	10	59	9.6405	1	0.3125	20	10	5	0.2000	20	10	pass_single_dominant
JERC-131-Rh	nodL.fa	612	491	80.2288	29.2010	3	121	19.7712	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-132-3-Rh	nodL.fa	612	540	88.2353	23.2255	3	72	11.7647	0	0.1111	20	10	5	0.2000	20	10	pass_single_dominant
JERC-135-3-No	nodL.fa	612	553	90.3595	9.5082	3	59	9.6405	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-149-Rh	nodL.fa	612	546	89.2157	6.7108	2	66	10.7843	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
JERC-150-Ro	nodL.fa	612	553	90.3595	7.7386	8	59	9.6405	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-154-No	nodL.fa	612	540	88.2353	12.0114	2	72	11.7647	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-154-Rh	nodL.fa	612	545	89.0523	22.8072	2	67	10.9477	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-199-No	nodL.fa	612	455	74.3464	12.0163	1	157	25.6536	0	0.0076	20	10	5	0.2000	20	10	fail_high_N
JERC-204-1-No	nodL.fa	612	495	80.8824	16.3399	2	117	19.1176	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
