sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
CLBJ-16-2-Ro	nifH.fa	997	829	83.1494	291.8987	81	168	16.8506	53	0.4875	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-17-1-Rh	nifH.fa	997	803	80.5416	91.8164	7	194	19.4584	4	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-17-1-No	nifH.fa	997	832	83.4504	1705.0281	472	165	16.5496	21	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-18-1-Rh	nifH.fa	997	830	83.2497	31.9569	13	167	16.7503	43	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-18-1-Ro	nifH.fa	997	830	83.2497	27.3370	33	167	16.7503	58	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-18-1-No	nifH.fa	997	835	83.7513	3548.1244	3724	162	16.2487	18	0.4762	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-19-1-Rh	nifH.fa	997	810	81.2437	822.8415	140	187	18.7563	8	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-19-1-Ro	nifH.fa	997	833	83.5507	75.5466	28	164	16.4493	59	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-19-1-No	nifH.fa	997	833	83.5507	3117.5396	1375	164	16.4493	17	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-20-1-No	nifH.fa	997	830	83.2497	1399.1735	824	167	16.7503	4	0.3860	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-21-1-Rh	nifH.fa	997	829	83.1494	138.3551	68	168	16.8506	43	0.4783	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-23-1-Rh	nifH.fa	997	827	82.9488	73.5928	45	170	17.0512	62	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-23-1-Ro	nifH.fa	997	831	83.3501	22.7202	8	166	16.6499	31	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-23-1-No	nifH.fa	997	827	82.9488	1630.8205	15	170	17.0512	1	0.4865	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-24-Rh	nifH.fa	997	835	83.7513	320.2287	241	162	16.2487	63	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-25-2-No	nifH.fa	997	834	83.6510	4385.5938	5284	163	16.3490	15	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-25-2-Rh	nifH.fa	997	834	83.6510	3278.1344	3396	163	16.3490	22	0.4991	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-24-No	nifH.fa	997	834	83.6510	4398.7081	7576	163	16.3490	13	0.4444	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-25-2-Ro	nifH.fa	997	834	83.6510	4404.6379	6300	163	16.3490	11	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-26-1-Rh	nifH.fa	997	833	83.5507	589.9238	333	164	16.4493	82	0.4870	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-26-1-Ro	nifH.fa	997	834	83.6510	2796.5226	1687	163	16.3490	24	0.4700	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-26-1-No	nifH.fa	997	833	83.5507	5819.3641	7827	164	16.4493	5	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-27-1-No	nifH.fa	997	834	83.6510	5640.5617	7496	163	16.3490	0	0.1566	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-27-1-Ro	nifH.fa	997	835	83.7513	3669.7031	4257	162	16.2487	19	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-27-1-Rh	nifH.fa	997	835	83.7513	3898.3340	4699	162	16.2487	20	0.4800	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-28-3-Rh	nifH.fa	997	834	83.6510	1261.6961	1222	163	16.3490	8	0.4375	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-29-2-Rh	nifH.fa	997	834	83.6510	2274.4955	1516	163	16.3490	24	0.4790	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-2-Rh	nifH.fa	997	830	83.2497	377.1184	381	167	16.7503	12	0.4737	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-2-No	nifH.fa	997	797	79.9398	3539.6510	4137	200	20.0602	0	0.0164	20	10	5	0.2000	20	10	fail_high_N
CLBJ-2-Ro	nifH.fa	997	827	82.9488	88.6429	73	170	17.0512	79	0.4737	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-3-1-No	nifH.fa	997	809	81.1434	3592.0481	3502	188	18.8566	18	0.4783	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
