sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
DELA-15-1-Ro	nodX.fa	1121	1008	89.9197	314.9447	243	113	10.0803	5	0.3802	20	10	5	0.2000	20	10	pass_single_dominant
DELA-16-No	nodX.fa	1121	1040	92.7743	8.8412	9	81	7.2257	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
DELA-18-2-No	nodX.fa	1121	884	78.8582	503.4371	15	237	21.1418	6	0.5000	20	10	5	0.2000	20	10	fail_high_N
DELA-18-2-Rh	nodX.fa	1121	852	76.0036	912.9759	134	269	23.9964	3	0.3469	20	10	5	0.2000	20	10	fail_high_N
DELA-18-2-Ro	nodX.fa	1121	1034	92.2391	69.4246	34	87	7.7609	5	0.4118	20	10	5	0.2000	20	10	pass_single_dominant
DELA-20-1-No	nodX.fa	1121	1047	93.3988	129.7119	78	74	6.6012	4	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
DELA-20-1-Rh	nodX.fa	1121	1103	98.3943	2184.4746	647	18	1.6057	1	0.2442	20	10	5	0.2000	20	10	pass_single_dominant
DELA-20-1-Ro	nodX.fa	1121	992	88.4924	721.3274	874	129	11.5076	3	0.3268	20	10	5	0.2000	20	10	pass_single_dominant
DELA-26-3-Ro	nodX.fa	1121	1101	98.2159	15.5986	18	20	1.7841	2	0.2692	20	10	5	0.2000	20	10	pass_single_dominant
DELA-7-3-No	nodX.fa	1121	1104	98.4835	9.3631	8	17	1.5165	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-25-1-Rh	nodX.fa	1121	1039	92.6851	11.5129	12	82	7.3149	4	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-52-1-No	nodX.fa	1121	1008	89.9197	24.3292	26	113	10.0803	25	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DSNY-74-1-No	nodX.fa	1121	1103	98.3943	39.9126	42	18	1.6057	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-74-1-Ro	nodX.fa	1121	1043	93.0419	12.2712	4	78	6.9581	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-75-1-Ro	nodX.fa	1121	1062	94.7368	208.5986	201	59	5.2632	4	0.4220	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-76-1-Rh	nodX.fa	1121	861	76.8064	44.5004	1	260	23.1936	8	0.4381	20	10	5	0.2000	20	10	fail_high_N
DSNY-79-1-Rh	nodX.fa	1121	1101	98.2159	11.4103	12	20	1.7841	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-81-1-No	nodX.fa	1121	1103	98.3943	29.0223	29	18	1.6057	0	0.0526	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-83-3-Ro	nodX.fa	1121	1102	98.3051	57.5361	67	19	1.6949	0	0.0833	20	10	5	0.2000	20	10	pass_single_dominant
DSNY-85-1-Rh	nodX.fa	1121	1083	96.6102	8.2971	9	38	3.3898	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
GRSM-1-No	nodX.fa	1121	1102	98.3051	7.8564	8	19	1.6949	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
GUAN-8-No	nodX.fa	1121	1102	98.3051	10.7939	13	19	1.6949	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
HEAL-9-1-Rh	nodX.fa	1121	1101	98.2159	25.8724	24	20	1.7841	0	0.0526	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-37-1-No	nodX.fa	1121	1107	98.7511	7470.1695	7926	14	1.2489	0	0.0709	20	10	5	0.2000	20	10	pass_single_dominant
JERC-134-3-Ro	nodX.fa	1121	1103	98.3943	11.5718	11	18	1.6057	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-135-3-Rh	nodX.fa	1121	1101	98.2159	9.6806	10	20	1.7841	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-151-Rh	nodX.fa	1121	1092	97.4130	14.3417	17	29	2.5870	0	0.1818	20	10	5	0.2000	20	10	pass_single_dominant
JERC-198-Ro	nodX.fa	1121	1099	98.0375	10.8046	9	22	1.9625	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
JERC-25-1-Rh	nodX.fa	1121	1042	92.9527	9.0000	7	79	7.0473	0	0.0769	20	10	5	0.2000	20	10	pass_single_dominant
JERC-99-2-No	nodX.fa	1121	1101	98.2159	28.2792	29	20	1.7841	0	0.0741	20	10	5	0.2000	20	10	pass_single_dominant
JERC-CERE-67-1-No	nodX.fa	1121	1098	97.9483	13.6878	16	23	2.0517	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-CLMA-83-1-No	nodX.fa	1121	1100	98.1267	8.3149	9	21	1.8733	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-CLMA-83-1-Rh	nodX.fa	1121	1088	97.0562	8.2435	7	33	2.9438	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-CRJU-86-1-No	nodX.fa	1121	1102	98.3051	14.7128	15	19	1.6949	0	0.3571	20	10	5	0.2000	20	10	pass_single_dominant
JERC-DEFL-61-3-No	nodX.fa	1121	1102	98.3051	37.3095	41	19	1.6949	0	0.0435	20	10	5	0.2000	20	10	pass_single_dominant
JERC-LEST-78-5-Rh	nodX.fa	1121	1069	95.3613	10.1615	11	52	4.6387	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-LEVI-79-2-Ro	nodX.fa	1121	1019	90.9010	9.8216	12	102	9.0990	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-RHRE-55-1-No	nodX.fa	1121	1061	94.6476	11.1481	9	60	5.3524	0	0.0769	20	10	5	0.2000	20	10	pass_single_dominant
KONZ-12-1-Ro	nodX.fa	1121	984	87.7788	8.8046	11	137	12.2212	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
KONZ-9-2-No	nodX.fa	1121	1102	98.3051	37.0856	39	19	1.6949	0	0.0513	20	10	5	0.2000	20	10	pass_single_dominant
JERC-121-Rh	nodX.fa	1121	1107	98.7511	7470.1695	7926	14	1.2489	0	0.0709	20	10	5	0.2000	20	10	pass_single_dominant
