metric	value
tree_file	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/trees/nifH_consensus50_iupac_all_pass_nm5000.treefile
blast_file	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/tables/iupac_nifH_best_reference_hit_with_taxon.tsv
tree_tips	1538
tips_with_blast_assignment	1538
tips_without_blast_assignment	0
unique_closest_taxa	32
unique_closest_genera	9
mean_percent_identity	87.0618
min_percent_identity	78.1210
max_percent_identity	99.3320
mean_query_coverage_percent	82.4001
min_query_coverage_percent	71.6148
max_query_coverage_percent	88.2648
