sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
BONA-9-No	nifJ.fa	3528	3249	92.0918	2286.4524	2017	279	7.9082	9	0.4408	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-33-1-No	nifJ.fa	3528	3187	90.3345	11.6006	10	341	9.6655	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-34-1-No	nifJ.fa	3528	3067	86.9331	9.7092	8	461	13.0669	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-1-1-No	nifJ.fa	3528	3119	88.4070	8.5830	7	409	11.5930	16	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
BONA-7-No	nifJ.fa	3528	3312	93.8776	6135.7557	7630	216	6.1224	11	0.4936	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-16-1-No	nifJ.fa	3528	3263	92.4887	6013.8943	7581	265	7.5113	0	0.0472	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-16-2-Rh	nifJ.fa	3528	3249	92.0918	848.6287	863	279	7.9082	2	0.4327	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-17-2-No	nifJ.fa	3528	3201	90.7313	23.8665	18	327	9.2687	52	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-17-2-Rh	nifJ.fa	3528	3237	91.7517	132.3705	115	291	8.2483	4	0.2477	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-17-2-Ro	nifJ.fa	3528	2890	81.9161	367.1423	223	638	18.0839	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-18-1-No	nifJ.fa	3528	3294	93.3673	5837.2367	7171	234	6.6327	0	0.1579	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-18-1-Ro	nifJ.fa	3528	3259	92.3753	873.0930	826	269	7.6247	0	0.1429	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-16-2-No	nifJ.fa	3528	3282	93.0272	6086.5828	7688	246	6.9728	0	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-22-1-No	nifJ.fa	3528	3273	92.7721	5819.3129	7189	255	7.2279	11	0.4096	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-21-1-No	nifJ.fa	3528	3288	93.1973	5738.8430	7062	240	6.8027	0	0.0556	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-24-1-No	nifJ.fa	3528	3266	92.5737	3849.5238	4114	262	7.4263	0	0.0690	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-24-1-Rh	nifJ.fa	3528	3122	88.4921	1177.1910	692	406	11.5079	0	0.1173	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-28-1-Rh	nifJ.fa	3528	3055	86.5930	44.7194	12	473	13.4070	52	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-28-1-Ro	nifJ.fa	3528	2932	83.1066	106.9263	9	596	16.8934	13	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-23-1-No	nifJ.fa	3528	3279	92.9422	4787.4748	5550	249	7.0578	101	0.4975	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-28-2-No	nifJ.fa	3528	3262	92.4603	5876.3988	7221	266	7.5397	0	0.0238	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-29-1-Rh	nifJ.fa	3528	3256	92.2902	617.7423	589	272	7.7098	2	0.3209	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-29-1-No	nifJ.fa	3528	3264	92.5170	6125.9600	7644	264	7.4830	0	0.0189	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-29-2-Rh	nifJ.fa	3528	3095	87.7268	83.9104	59	433	12.2732	38	0.4492	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-29-2-Ro	nifJ.fa	3528	3226	91.4399	268.8804	240	302	8.5601	0	0.1513	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-30-No	nifJ.fa	3528	3325	94.2460	6014.1706	7416	203	5.7540	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-30-Rh	nifJ.fa	3528	3237	91.7517	152.3628	139	291	8.2483	0	0.1649	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-31-No	nifJ.fa	3528	3014	85.4308	2901.1735	1122	514	14.5692	3	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-29-2-No	nifJ.fa	3528	3268	92.6304	6197.7038	7634	260	7.3696	1	0.3143	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-32-Rh	nifJ.fa	3528	3287	93.1689	757.1173	733	241	6.8311	0	0.0588	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-32-Ro	nifJ.fa	3528	3208	90.9297	1247.2194	1122	320	9.0703	0	0.1755	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-33-No	nifJ.fa	3528	3276	92.8571	5902.2789	7276	252	7.1429	0	0.0471	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-34-No	nifJ.fa	3528	3273	92.7721	5808.3832	7107	255	7.2279	0	0.0435	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-32-No	nifJ.fa	3528	3266	92.5737	5984.9739	7498	262	7.4263	1	0.2692	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-35-Rh	nifJ.fa	3528	3010	85.3175	66.0414	61	518	14.6825	12	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-35-Ro	nifJ.fa	3528	3183	90.2211	16.7673	15	345	9.7789	20	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-4-1-No	nifJ.fa	3528	3265	92.5454	4096.3622	4760	263	7.4546	0	0.0743	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-35-No	nifJ.fa	3528	3263	92.4887	5131.6769	6188	265	7.5113	0	0.2667	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-4-2-Ro	nifJ.fa	3528	3198	90.6463	94.6171	20	330	9.3537	36	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-43-Rh	nifJ.fa	3528	3104	87.9819	129.1295	126	424	12.0181	1	0.3578	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-43-Ro	nifJ.fa	3528	3089	87.5567	257.9649	209	439	12.4433	1	0.2121	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-44-Ro	nifJ.fa	3528	2877	81.5476	14.1874	13	651	18.4524	1	0.4667	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-48-No	nifJ.fa	3528	3007	85.2324	3679.3807	4058	521	14.7676	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
