sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
CLBJ-17-1-Ro	nifD.fa	1532	1314	85.7702	17.1658	8	218	14.2298	66	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-14-1-No	nifD.fa	1532	1314	85.7702	5344.7232	7499	218	14.2298	8	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-18-1-Rh	nifD.fa	1532	1295	84.5300	18.0666	19	237	15.4700	115	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-18-1-Ro	nifD.fa	1532	1296	84.5953	21.5711	22	236	15.4047	141	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-18-1-No	nifD.fa	1532	1317	85.9661	1769.9667	36	215	14.0339	46	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-19-1-Rh	nifD.fa	1532	1313	85.7050	732.5751	193	219	14.2950	68	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-19-1-No	nifD.fa	1532	1316	85.9008	1128.2258	24	216	14.0992	62	0.4898	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-19-1-Ro	nifD.fa	1532	1317	85.9661	64.2696	30	215	14.0339	99	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-21-1-Rh	nifD.fa	1532	1290	84.2037	114.6279	15	242	15.7963	40	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-20-1-No	nifD.fa	1532	1313	85.7050	301.6952	41	219	14.2950	22	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-23-1-Rh	nifD.fa	1532	1302	84.9869	57.1795	37	230	15.0131	143	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
